,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688439,115.0100,116.6800,106.0000,107.2400,3895830,435714988.3300
1,2023-02-24,sh.688439,107.1900,111.8800,103.8000,109.1200,4451408,479673903.2600
2,2023-03-03,sh.688439,108.6000,109.1000,103.4400,107.4900,6019057,639138651.7600
3,2023-03-10,sh.688439,108.4100,111.6600,104.4100,105.6600,3823237,413954860.5300
4,2023-03-17,sh.688439,105.0000,109.9000,98.7700,100.7300,6425556,669059527.5700
5,2023-03-24,sh.688439,102.8800,105.1400,94.3000,95.8300,7406761,734868608.6400
6,2023-03-31,sh.688439,95.2100,97.2100,90.0000,91.8100,8248218,765152809.7200
7,2023-04-07,sh.688439,91.4200,101.9900,91.0000,100.6900,9103351,882596664.6800
8,2023-04-14,sh.688439,100.9300,111.0200,97.6000,109.1700,10036742,1055202946.3800
9,2023-04-21,sh.688439,108.9000,119.8500,107.3900,113.0000,11468324,1302514399.0600
10,2023-04-28,sh.688439,112.7600,118.8800,109.0000,115.0000,6791234,772394133.1500
11,2023-05-05,sh.688439,115.4700,117.2700,106.5000,110.4400,2799248,308729695.9000
12,2023-05-12,sh.688439,109.5000,114.9900,101.8500,102.5000,4675200,502791143.0800
13,2023-05-19,sh.688439,103.0000,107.1700,100.8800,103.9900,3677560,383265399.4900
14,2023-05-26,sh.688439,103.9900,111.9000,100.4000,111.3800,4183323,444863546.6300
15,2023-06-02,sh.688439,111.0300,115.9000,107.1000,108.0800,3750516,416353643.4200
16,2023-06-09,sh.688439,107.8000,109.9800,96.5100,99.5000,3434975,350490087.0400
17,2023-06-16,sh.688439,99.9000,103.8800,96.3000,101.6000,5933718,591901373.2300
18,2023-06-21,sh.688439,101.6000,103.8000,99.1700,101.9500,2509587,255823298.3600
19,2023-06-30,sh.688439,101.9500,112.7800,99.4100,109.8200,6408499,681634534.7000
20,2023-07-07,sh.688439,109.6800,113.3000,106.9900,108.3900,4404282,484474842.2300
21,2023-07-14,sh.688439,109.0800,109.6000,102.0400,102.0900,3851489,406863329.7200
22,2023-07-21,sh.688439,102.0800,110.5600,100.3100,101.3200,8131605,858204804.3100
23,2023-07-28,sh.688439,101.0000,102.7800,94.1800,97.0900,6013642,590017251.7700
24,2023-08-04,sh.688439,97.0000,97.9900,94.5100,96.1500,4288296,412806010.0600
25,2023-08-11,sh.688439,96.0000,96.9600,90.8600,90.9600,2258871,211647275.2000
26,2023-08-18,sh.688439,89.9200,97.9800,86.0300,93.9800,3941589,363726021.6600
27,2023-08-25,sh.688439,93.0000,95.8600,89.2300,92.0300,3387696,314051792.9300
28,2023-09-01,sh.688439,98.0000,100.6900,91.5000,95.7900,5569742,536949955.1900
29,2023-09-08,sh.688439,96.0100,97.6400,90.6000,96.4800,7260776,684936901.3500
30,2023-09-15,sh.688439,96.6000,96.6000,90.1000,90.1800,4231878,392270756.3800
31,2023-09-22,sh.688439,90.1800,90.8200,83.0100,85.7500,4096331,353415127.3700
32,2023-09-28,sh.688439,85.9000,89.1800,83.0100,88.3800,4562957,391032582.8800
33,2023-10-13,sh.688439,87.9100,89.5800,83.0200,83.2000,4009035,344682056.8800
34,2023-10-20,sh.688439,83.1800,83.9900,79.7100,80.3500,3181408,259342990.6000
35,2023-10-27,sh.688439,80.0000,88.8000,79.1900,87.5000,4274515,359203635.9500
36,2023-11-03,sh.688439,86.9800,90.6000,86.5100,90.2000,4881546,434419981.5500
37,2023-11-10,sh.688439,90.6700,95.8800,89.5000,95.3300,4941394,457287273.5600
38,2023-11-17,sh.688439,95.8800,97.7300,92.0100,92.5900,4951777,470090883.6600
39,2023-11-24,sh.688439,92.5900,94.7000,90.5300,91.3000,4277321,394320159.8600
40,2023-12-01,sh.688439,92.6000,96.7500,90.8100,94.0000,4105164,388127589.2700
41,2023-12-08,sh.688439,94.0000,96.7800,91.7400,95.6800,6659786,629050068.3400
42,2023-12-15,sh.688439,94.8200,97.4700,90.5000,91.0600,5152356,484149368.5700
43,2023-12-22,sh.688439,90.0000,91.1800,85.9300,87.6300,4326777,380787540.6400
44,2023-12-29,sh.688439,87.7500,90.9000,85.1000,89.1100,4361053,383351113.8900
45,2024-01-05,sh.688439,89.1100,89.6900,82.4000,82.8200,2854324,245599925.8800
46,2024-01-12,sh.688439,82.2900,84.8700,76.1500,83.2000,6352783,515680862.5800
47,2024-01-19,sh.688439,83.1500,84.5000,76.4600,77.4200,4260349,343114763.5100
48,2024-01-26,sh.688439,77.9700,81.4300,71.3500,76.9900,10878987,849892860.3900
49,2024-02-02,sh.688439,78.3700,79.2800,65.1600,67.2500,7548467,540561628.6300
50,2024-02-08,sh.688439,65.8200,78.4900,60.0000,76.9500,9046259,633752062.6300
51,2024-02-23,sh.688439,76.9000,79.5200,74.5100,77.6000,7029651,539777198.8000
52,2024-03-01,sh.688439,77.3800,83.0000,76.0200,82.4200,9797203,787326620.8800
53,2024-03-08,sh.688439,82.0400,85.5900,80.6000,82.5800,7284831,604496309.3800
54,2024-03-15,sh.688439,82.0100,85.6000,77.5600,79.5300,8149812,666891908.6000
55,2024-03-22,sh.688439,80.0500,83.1900,76.4000,77.0000,7194171,577600493.2800
56,2024-03-29,sh.688439,76.6300,76.8900,68.3300,70.1600,10508340,752615143.7500
57,2024-04-03,sh.688439,70.5000,72.4900,69.1000,70.3100,5178771,367768729.9700
