,date,code,open,high,low,close,volume,amount
0,2023-05-19,sh.688512,18.8800,23.2000,18.2800,22.7300,89629116,1825388901.1200
1,2023-05-26,sh.688512,22.0000,24.4500,21.2100,23.0300,64874486,1481468623.9100
2,2023-06-02,sh.688512,22.8000,22.8000,21.0900,21.6200,41196463,903695326.9100
3,2023-06-09,sh.688512,21.5400,23.5000,21.1000,23.3800,39967710,890012812.0900
4,2023-06-16,sh.688512,23.0900,25.1000,23.0800,23.5900,35087897,843436544.9900
5,2023-06-21,sh.688512,23.3800,25.5000,21.5900,21.6900,23318889,553835596.3200
6,2023-06-30,sh.688512,21.6200,22.0500,20.1000,20.6800,18059968,378243736.6900
7,2023-07-07,sh.688512,20.6400,21.6300,20.4400,20.6400,15687610,327754551.1500
8,2023-07-14,sh.688512,20.6500,21.8200,20.2600,21.5000,12490953,263203934.3500
9,2023-07-21,sh.688512,21.3000,21.7300,20.1700,20.4100,9604006,201416175.0400
10,2023-07-28,sh.688512,20.3100,20.8600,18.8600,19.2000,10681356,211335514.4300
11,2023-08-04,sh.688512,19.1100,19.5000,19.0600,19.1500,4894766,94039099.4200
12,2023-08-11,sh.688512,19.1700,19.3400,18.5700,18.8900,7159064,135745955.8100
13,2023-08-18,sh.688512,18.8900,19.1300,17.7000,18.4500,8239532,151850607.4100
14,2023-08-25,sh.688512,18.3600,18.6200,16.5100,16.6500,8363475,148354212.1500
15,2023-09-01,sh.688512,18.1000,25.2700,17.2700,23.7300,43882049,951089653.1400
16,2023-09-08,sh.688512,23.9200,25.2700,22.2000,22.6500,27131816,644599183.7900
17,2023-09-15,sh.688512,22.5800,22.7200,19.2000,19.3800,12822993,264829562.6300
18,2023-09-22,sh.688512,19.5000,19.5100,18.1100,18.6900,12123565,225821100.0200
19,2023-09-28,sh.688512,18.6000,18.6900,17.8200,18.2900,8986144,162968193.5200
20,2023-10-13,sh.688512,18.3800,19.5000,17.9600,19.0100,16033744,300700436.0900
21,2023-10-20,sh.688512,19.0000,19.0000,17.3000,17.3700,9282034,167899576.6100
22,2023-10-27,sh.688512,17.4700,17.6000,16.6700,17.1700,10754908,183947009.7200
23,2023-11-03,sh.688512,17.1500,19.4900,17.0500,18.8600,22621817,419953158.1200
24,2023-11-10,sh.688512,19.0100,20.3000,19.0100,19.3100,15512540,304446582.8800
25,2023-11-17,sh.688512,19.5100,20.8300,19.1200,19.2900,16814293,332742752.9800
26,2023-11-24,sh.688512,19.3800,19.6400,18.0700,18.3300,10600015,199155821.9600
27,2023-12-01,sh.688512,18.3300,20.7700,18.2600,20.5000,23636353,463562434.5200
28,2023-12-08,sh.688512,20.2000,20.2300,18.2000,18.9100,15547433,296766156.4900
29,2023-12-15,sh.688512,18.7800,19.2300,18.3700,18.5100,8681371,163268907.2100
30,2023-12-22,sh.688512,18.5100,20.2500,18.1700,18.9000,11968397,228031709.9000
31,2023-12-29,sh.688512,18.8700,20.0100,17.1300,19.4900,14156928,260701973.5200
32,2024-01-05,sh.688512,19.4900,19.8700,17.7200,17.9000,8464737,154894814.2300
33,2024-01-12,sh.688512,17.8100,17.8900,15.8100,16.5900,12945333,215997548.4000
34,2024-01-19,sh.688512,16.5900,16.7600,15.3400,16.0500,7811654,125860265.3800
35,2024-01-26,sh.688512,15.8200,15.9000,13.8200,14.5800,13936021,205373698.5800
36,2024-02-02,sh.688512,14.4400,14.9600,11.2400,11.6800,12602862,162433694.9500
37,2024-02-08,sh.688512,11.6800,11.6800,9.1300,10.4500,20415668,205511139.0200
38,2024-02-23,sh.688512,10.6100,12.0500,10.5000,12.0300,16688473,186761411.6500
39,2024-03-01,sh.688512,12.0000,13.4900,11.6000,12.9900,24411746,309687890.7600
40,2024-03-08,sh.688512,12.9600,13.7800,12.2200,12.9300,16618213,213425573.9200
41,2024-03-15,sh.688512,12.8600,13.2700,12.4000,12.9000,12196408,156381662.8500
42,2024-03-22,sh.688512,12.9400,13.9300,12.9100,13.0800,12128287,162085706.6000
43,2024-03-29,sh.688512,13.0500,13.0500,10.8800,11.4800,13445950,156139509.8200
44,2024-04-03,sh.688512,11.5500,11.7500,10.8600,11.0500,6718393,76213146.7100
