,date,code,open,high,low,close,volume,amount
0,2023-04-07,sh.688535,60.0200,91.0000,56.0000,72.7100,34295228,2358601088.0200
1,2023-04-14,sh.688535,72.3000,72.4800,59.1100,65.7500,28399213,1875521020.9800
2,2023-04-21,sh.688535,65.6500,76.8900,63.6100,71.6000,22986281,1572149710.4800
3,2023-04-28,sh.688535,73.0000,78.5000,58.5000,62.8800,17025736,1153499485.7200
4,2023-05-05,sh.688535,63.2200,63.4900,53.6600,53.7300,4811281,275048851.0800
5,2023-05-12,sh.688535,55.0700,56.5600,49.6800,50.0000,7292285,380486939.7800
6,2023-05-19,sh.688535,50.0000,58.8500,49.1400,57.3300,8571813,461102064.7900
7,2023-05-26,sh.688535,59.0000,62.5000,54.0500,60.0200,12445780,732145065.6900
8,2023-06-02,sh.688535,61.0000,64.0000,58.8200,61.0000,9361950,574094299.6000
9,2023-06-09,sh.688535,61.0000,69.4700,60.5000,65.5000,13442548,870939809.9800
10,2023-06-16,sh.688535,67.4100,69.2700,59.7100,64.3800,11135293,722339519.0500
11,2023-06-21,sh.688535,63.5100,69.0000,58.8400,59.6400,9646634,619397851.4400
12,2023-06-30,sh.688535,58.2200,61.5700,55.0000,61.1300,7711069,451980396.6700
13,2023-07-07,sh.688535,61.1300,71.5000,59.2000,70.0100,12737805,842628298.9300
14,2023-07-14,sh.688535,69.5100,125.9900,64.7100,114.0000,35516056,3469789967.0000
15,2023-07-21,sh.688535,115.0400,120.5000,98.7000,98.7000,36520577,3988590575.9200
16,2023-07-28,sh.688535,93.6700,100.9600,85.4300,85.4300,22604662,2140809251.6500
17,2023-08-04,sh.688535,83.2400,90.5700,82.2000,85.9100,16709101,1449728043.1800
18,2023-08-11,sh.688535,85.4000,91.0000,81.2700,81.6900,13211438,1129567968.6400
19,2023-08-18,sh.688535,81.2700,85.0800,76.6000,78.5100,8737255,700809887.6300
20,2023-08-25,sh.688535,77.2200,81.9900,71.3000,71.3000,10974682,840904676.7800
21,2023-09-01,sh.688535,75.2200,91.0000,68.8400,84.4500,19363690,1590488851.5500
22,2023-09-08,sh.688535,84.4900,96.0000,81.2800,86.0000,25367007,2240253963.3500
23,2023-09-15,sh.688535,84.6600,92.8800,82.0200,88.1000,19902967,1730808761.2300
24,2023-09-22,sh.688535,85.0500,87.5000,72.7100,76.6000,11914796,943507922.9200
25,2023-09-28,sh.688535,75.8700,78.5000,73.8800,75.5000,6676372,507770684.8200
26,2023-10-13,sh.688535,74.1400,90.6200,70.3600,82.5800,14171482,1110433779.0500
27,2023-10-20,sh.688535,82.5900,87.0700,72.4600,72.4800,16999312,1395112002.4000
28,2023-10-27,sh.688535,71.8000,75.9300,65.0000,74.3500,12523946,889267264.3100
29,2023-11-03,sh.688535,73.8000,85.0000,73.0100,84.3500,13081334,1017813379.5400
30,2023-11-10,sh.688535,83.4500,92.1800,82.6000,85.8000,19899419,1730662024.7900
31,2023-11-17,sh.688535,86.7600,109.3900,84.5200,109.3900,23736791,2247301638.1600
32,2023-11-24,sh.688535,120.0000,131.2700,100.5600,100.8300,34001055,3927193201.9300
33,2023-12-01,sh.688535,100.5000,108.1700,94.5300,99.5900,19853808,2010311070.4800
34,2023-12-08,sh.688535,99.5900,103.5000,91.0800,102.1100,19184605,1869289895.1600
35,2023-12-15,sh.688535,99.2100,105.5000,92.5000,94.9200,13198035,1305557253.3400
36,2023-12-22,sh.688535,94.0000,96.2900,89.0100,91.5100,8682923,809625973.0300
37,2023-12-29,sh.688535,90.5500,93.5900,83.6700,92.7800,11159458,999042986.6300
38,2024-01-05,sh.688535,91.3300,91.9300,76.8100,77.8700,7423350,620711965.5600
39,2024-01-12,sh.688535,77.4000,80.2800,74.0000,77.2500,7225257,558257657.6000
40,2024-01-19,sh.688535,76.0000,80.6800,72.5000,76.3100,8379196,644566097.0900
41,2024-01-26,sh.688535,76.8600,81.9200,69.9900,78.3700,13927661,1070502542.7200
42,2024-02-02,sh.688535,80.1500,80.9700,55.5000,58.0000,13564769,880909732.3000
43,2024-02-08,sh.688535,56.5000,59.0000,47.0300,57.8100,9363927,505550331.2100
44,2024-02-23,sh.688535,60.6000,71.1600,58.5300,69.4300,15696609,1036855834.1700
45,2024-03-01,sh.688535,71.7900,82.3000,68.5000,75.8200,17924395,1332948778.9100
46,2024-03-08,sh.688535,77.6600,95.7700,76.0000,93.8800,24627692,2158237542.1000
47,2024-03-15,sh.688535,91.0000,102.8800,86.6600,89.8600,18273377,1708011634.6000
48,2024-03-22,sh.688535,89.3900,100.2200,88.5000,91.0000,17115977,1607792168.0800
49,2024-03-29,sh.688535,89.0000,90.0000,71.0800,75.0700,15656008,1229688110.4300
50,2024-04-03,sh.688535,74.4500,75.5000,69.2600,71.3600,7663958,561441458.5600
