,date,code,open,high,low,close,volume,amount
0,2023-08-25,sh.688591,33.3300,37.7700,30.6100,32.7000,40773753,1373732669.7800
1,2023-09-01,sh.688591,42.0500,49.4300,31.0000,36.7500,162557818,6617821020.7800
2,2023-09-08,sh.688591,36.8000,39.2300,32.0600,37.6100,89026319,3168835286.2700
3,2023-09-15,sh.688591,38.5500,40.5900,32.7700,33.4100,55091395,1984516380.5200
4,2023-09-22,sh.688591,33.2900,35.6400,32.3800,34.5600,46813822,1592582731.9200
5,2023-09-28,sh.688591,34.7800,35.2900,31.9100,32.9100,39086542,1304704058.9600
6,2023-10-13,sh.688591,32.8000,34.1000,32.2400,32.6800,31934619,1051881025.0300
7,2023-10-20,sh.688591,33.3300,33.3500,29.8100,29.9100,26160578,821800093.0000
8,2023-10-27,sh.688591,29.6800,30.1800,28.2200,29.9800,21147531,618549853.9100
9,2023-11-03,sh.688591,30.0100,31.2800,29.3200,30.7800,20257287,617807599.4300
10,2023-11-10,sh.688591,31.0600,33.3300,30.9100,31.8600,23026437,739074845.3200
11,2023-11-17,sh.688591,31.9000,35.6000,31.9000,33.7600,31725790,1077517601.0700
12,2023-11-24,sh.688591,33.7000,34.4800,30.2300,30.5000,23013668,744247843.4400
13,2023-12-01,sh.688591,30.3800,31.5900,29.5100,30.2500,15717757,478397459.2700
14,2023-12-08,sh.688591,30.2000,30.4800,28.5300,29.3900,14399717,421292398.8500
15,2023-12-15,sh.688591,29.1200,30.6500,28.7800,29.4400,15012492,447974461.2300
16,2023-12-22,sh.688591,29.3900,29.6800,27.8400,28.1800,13832761,397522691.0500
17,2023-12-29,sh.688591,28.0100,29.2600,26.8700,29.0700,12266373,342036691.5000
18,2024-01-05,sh.688591,28.9800,29.1000,26.6200,26.7700,8320866,230702486.7800
19,2024-01-12,sh.688591,26.7100,26.8100,25.2000,25.6200,11634030,300889694.4200
20,2024-01-19,sh.688591,25.8500,26.0900,23.7800,24.2800,12018121,299526831.6400
21,2024-01-26,sh.688591,24.3100,24.3800,21.9400,23.0200,12577709,292626482.3800
22,2024-02-02,sh.688591,23.9000,24.6800,18.0700,18.7900,15173778,324146407.7400
23,2024-02-08,sh.688591,18.7000,18.7100,15.7300,18.5200,16293541,282599706.4200
24,2024-02-23,sh.688591,18.9900,20.8700,18.5500,20.8400,16440010,321973705.2300
25,2024-03-01,sh.688591,20.5000,22.6500,20.0900,22.0500,28456380,612173488.5000
26,2024-03-08,sh.688591,22.1600,22.8900,21.1800,22.2500,19416651,429372559.8000
27,2024-03-15,sh.688591,22.2000,23.2400,21.8500,22.7800,15866330,356639593.9100
28,2024-03-22,sh.688591,23.1800,24.0900,22.7500,23.1600,16189293,379765739.5600
29,2024-03-29,sh.688591,23.0600,23.2000,20.0600,21.1600,12694435,272109439.6600
30,2024-04-03,sh.688591,21.3600,21.6000,20.3600,20.6400,4744702,100137277.3600
