,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688617,354.2900,363.9900,335.6600,338.4900,2381787,835628108.5500
1,2023-02-24,sh.688617,339.6700,350.0000,328.0200,335.5500,1782912,604985160.5400
2,2023-03-03,sh.688617,335.6000,357.7400,334.1600,344.2000,2569926,888963256.2700
3,2023-03-10,sh.688617,343.1500,361.8900,334.0700,339.0100,1997920,696534369.4000
4,2023-03-17,sh.688617,339.0000,345.2000,311.0000,313.2200,2588737,852548294.8700
5,2023-03-24,sh.688617,312.9000,325.4800,298.9300,311.9600,3244717,1012138137.9100
6,2023-03-31,sh.688617,309.0300,359.8600,303.4300,353.6600,2982175,975841141.8600
7,2023-04-07,sh.688617,349.0000,370.6700,340.0000,367.5500,2592714,922563048.8800
8,2023-04-14,sh.688617,364.3100,376.8800,348.0200,351.2300,2218722,800937538.2000
9,2023-04-21,sh.688617,352.2300,357.3900,335.0700,349.6800,2639357,916668234.9900
10,2023-04-28,sh.688617,352.1500,397.0000,333.3600,364.5000,3493057,1252418385.3000
11,2023-05-05,sh.688617,365.4500,379.0000,358.1000,360.4000,919932,337937045.1400
12,2023-05-12,sh.688617,360.8000,376.9500,340.3400,351.8200,2657099,943544108.7000
13,2023-05-19,sh.688617,349.0000,396.0000,344.1500,391.4600,2870450,1065775568.1100
14,2023-05-26,sh.688617,390.9800,399.7000,373.1000,384.1000,1472408,567054300.2400
15,2023-06-02,sh.688617,383.7200,388.0000,360.1000,368.0400,1891348,704971531.0400
16,2023-06-09,sh.688617,367.6800,379.0000,353.6000,356.0000,2410742,879536842.0400
17,2023-06-16,sh.688617,356.0000,368.5900,352.3100,355.0000,1455266,525235099.2300
18,2023-06-21,sh.688617,353.0100,363.8600,345.3000,352.3000,840306,299205308.2800
19,2023-06-30,sh.688617,349.0000,377.8700,349.0000,373.7500,1785190,655661810.4300
20,2023-07-07,sh.688617,374.5000,391.8200,368.1300,373.8800,1548205,588463330.2900
21,2023-07-14,sh.688617,373.8000,388.0100,365.1200,370.2800,906867,340124201.1500
22,2023-07-21,sh.688617,371.0100,380.0000,356.9800,367.1500,1190607,438143472.7300
23,2023-07-28,sh.688617,366.1500,374.9900,356.6900,372.0000,1175569,430567159.3600
24,2023-08-04,sh.688617,374.9500,374.9500,321.5100,324.6800,5884122,1964671512.1300
25,2023-08-11,sh.688617,324.6800,334.5000,303.0300,303.3500,3707019,1186125546.0600
26,2023-08-18,sh.688617,304.0000,312.4700,295.3700,296.3000,1866170,566528945.2300
27,2023-08-25,sh.688617,298.7700,344.2900,293.6000,318.1900,2839921,886472231.8200
28,2023-09-01,sh.688617,342.9500,362.9800,322.0000,354.4100,2706633,933575369.5500
29,2023-09-08,sh.688617,354.4200,359.2000,334.3700,357.8600,2096632,722565565.6700
30,2023-09-15,sh.688617,357.9100,374.8900,357.9100,371.0000,1969574,721260755.4000
31,2023-09-22,sh.688617,367.5500,385.7900,362.4400,370.2300,1672946,618875890.5700
32,2023-09-28,sh.688617,370.0000,385.2000,365.0100,382.8400,1494697,564101907.9400
33,2023-10-13,sh.688617,382.1100,385.3400,371.0100,383.4500,1151716,436538503.3500
34,2023-10-20,sh.688617,381.3600,384.5000,366.0000,366.8100,1138426,426288230.4000
35,2023-10-27,sh.688617,367.8300,379.0000,346.0200,374.2700,2010092,734526096.4800
36,2023-11-03,sh.688617,372.7500,380.0000,347.0600,355.0400,1762545,631519205.6300
37,2023-11-10,sh.688617,356.6800,368.6500,337.0200,366.2800,2434106,863190083.5800
38,2023-11-17,sh.688617,365.4500,365.4500,335.0500,355.8400,2000784,699359850.0700
39,2023-11-24,sh.688617,352.2100,354.8800,338.2100,344.0900,1740222,600543447.4200
40,2023-12-01,sh.688617,343.4700,378.8700,341.0000,377.7200,1673782,609601117.7000
41,2023-12-08,sh.688617,376.7800,392.9200,366.9900,382.3000,1618784,612982442.0700
42,2023-12-15,sh.688617,380.0600,398.0000,378.1000,383.1600,1323509,513806524.5700
43,2023-12-22,sh.688617,383.1600,387.0000,368.0000,372.9000,1045355,393793995.3400
44,2023-12-29,sh.688617,372.5000,389.9500,366.1000,388.5000,1292877,489082644.2700
45,2024-01-05,sh.688617,387.1900,391.2300,365.6000,365.8500,897417,339824285.0800
46,2024-01-12,sh.688617,363.5000,382.9900,357.0500,370.5000,1215106,451990507.4500
47,2024-01-19,sh.688617,368.0400,374.3800,345.6400,354.6300,1403758,502786524.0000
48,2024-01-26,sh.688617,358.0000,381.6600,310.0200,360.5300,2096164,751043798.8800
49,2024-02-02,sh.688617,421.0000,421.0000,366.4800,393.0800,4192829,1631432331.5700
50,2024-02-08,sh.688617,390.0000,479.9600,388.0000,451.0000,3298413,1438101285.2500
51,2024-02-23,sh.688617,455.0000,455.0000,412.3300,419.6900,2621773,1119400287.0300
52,2024-03-01,sh.688617,418.2900,457.9800,416.1200,450.0800,2176830,962929903.2100
53,2024-03-08,sh.688617,446.2300,471.8200,445.0000,448.9400,1705048,777983606.8000
54,2024-03-15,sh.688617,448.9500,465.5000,441.5000,454.2600,1315149,596024901.7500
55,2024-03-22,sh.688617,451.8500,460.4200,425.3100,432.3700,1936055,852858933.6800
56,2024-03-29,sh.688617,434.7800,434.7800,418.0800,428.0900,2120987,901949362.7000
57,2024-04-03,sh.688617,428.0000,444.8400,415.0700,432.0200,1339986,578062734.4100
