,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688622,42.5100,45.1400,41.0000,41.5900,6090481,257915334.4100
1,2023-02-24,sh.688622,41.5500,50.0000,39.9500,42.6700,8483173,373713666.2500
2,2023-03-03,sh.688622,42.4000,43.5000,41.1100,42.1900,5462527,229888330.9700
3,2023-03-10,sh.688622,42.4300,45.4300,41.8800,44.4500,4984484,218355765.0400
4,2023-03-17,sh.688622,44.2000,44.4000,40.6200,41.5200,2984711,127143114.9200
5,2023-03-24,sh.688622,41.3700,44.7900,39.8000,43.6700,4309969,184793841.2000
6,2023-03-31,sh.688622,43.7300,44.3600,37.4400,38.3000,4383052,175761676.6900
7,2023-04-07,sh.688622,38.8000,39.5900,36.3000,38.9500,3621010,137450408.9500
8,2023-04-14,sh.688622,38.9000,40.4900,37.9900,40.0500,3566991,140062242.9700
9,2023-04-21,sh.688622,40.0500,40.8700,35.2000,35.4800,3312036,125800338.7700
10,2023-04-28,sh.688622,35.5200,38.1600,33.0000,37.5300,3157502,114178485.5800
11,2023-05-05,sh.688622,37.2600,38.1800,36.1600,36.9800,869548,32212937.8000
12,2023-05-12,sh.688622,36.7900,37.1900,34.1000,34.1000,1930961,68331065.7600
13,2023-05-19,sh.688622,34.2500,38.0900,33.8500,37.8300,1948580,69675956.4200
14,2023-05-26,sh.688622,38.0500,38.7800,36.9700,38.6000,1987184,75659099.7300
15,2023-06-02,sh.688622,38.6000,39.0000,35.8000,37.3900,3501732,131287538.5200
16,2023-06-09,sh.688622,37.5800,37.6100,32.7200,33.0600,3367638,117863060.8200
17,2023-06-16,sh.688622,33.2000,35.6600,32.5300,33.9300,3259540,111286559.4800
18,2023-06-21,sh.688622,33.7900,34.9900,33.6800,33.9900,1771422,60781842.1600
19,2023-06-30,sh.688622,34.0400,35.5600,32.2300,35.5000,2639150,89971777.9500
20,2023-07-07,sh.688622,35.7600,36.0400,34.2600,34.2900,1806165,63485520.7200
21,2023-07-14,sh.688622,34.4600,34.7200,32.3300,32.4500,1696707,56693479.9500
22,2023-07-21,sh.688622,32.6900,32.7900,30.4200,30.4500,1731147,55061388.4400
23,2023-07-28,sh.688622,30.6700,31.7800,30.4100,31.3200,1655499,51544752.6300
24,2023-08-04,sh.688622,31.5800,36.0000,31.2000,32.3300,6245470,210931224.5300
25,2023-08-11,sh.688622,32.5600,33.1000,30.6200,30.6600,2155266,68894730.0000
26,2023-08-18,sh.688622,30.9700,32.4600,29.9000,31.8000,1721108,54187420.2200
27,2023-08-25,sh.688622,31.8400,34.7700,30.9500,32.2200,3328751,109037419.7400
28,2023-09-01,sh.688622,34.0000,34.0000,31.8200,32.3000,3944491,130038465.2200
29,2023-09-08,sh.688622,32.4600,33.5300,31.2200,33.1500,2679242,86994504.0100
30,2023-09-15,sh.688622,33.5100,35.4500,32.4400,32.9600,4160104,141604874.5300
31,2023-09-22,sh.688622,32.8700,33.7800,31.6800,32.7700,1666599,54314325.5600
32,2023-09-28,sh.688622,32.8200,33.3800,31.8600,33.2400,1371756,44680424.6900
33,2023-10-13,sh.688622,33.0300,33.4000,31.5700,32.0800,1827852,59115692.4600
34,2023-10-20,sh.688622,32.1800,32.1900,30.0700,30.4400,1472108,45992810.6900
35,2023-10-27,sh.688622,30.6500,32.0800,29.6200,32.0100,1625795,50208555.5800
36,2023-11-03,sh.688622,31.9400,34.5500,31.9300,34.2400,2501903,83631595.5800
37,2023-11-10,sh.688622,34.0000,36.3300,33.9400,34.3900,2342539,81458180.7200
38,2023-11-17,sh.688622,34.6300,36.7900,34.6300,36.3500,2533505,91088495.8800
39,2023-11-24,sh.688622,36.3600,37.0900,35.6900,35.8500,2249157,82144012.5500
40,2023-12-01,sh.688622,35.6000,36.9900,35.6000,36.2100,2032606,73638714.8200
41,2023-12-08,sh.688622,36.2100,36.5000,34.1200,34.4000,2016668,71218697.8200
42,2023-12-15,sh.688622,34.4000,35.9500,34.0400,34.3400,2336150,81638521.6100
43,2023-12-22,sh.688622,34.5600,35.2500,33.5700,33.8700,1842682,63135684.5900
44,2023-12-29,sh.688622,33.6300,36.1000,32.0500,35.9500,2109713,71796542.2000
45,2024-01-05,sh.688622,35.4400,35.9800,32.9300,33.1700,2003832,68953855.7000
46,2024-01-12,sh.688622,33.1300,34.0100,31.8400,32.4000,1777329,58158000.8200
47,2024-01-19,sh.688622,33.9900,33.9900,28.8800,29.1100,2505965,76640591.3400
48,2024-01-26,sh.688622,29.0100,29.6800,25.6900,28.0900,2799839,76266572.0600
49,2024-02-02,sh.688622,27.8900,28.3000,20.4600,21.6800,3299104,79023321.3700
50,2024-02-08,sh.688622,20.9400,21.4000,14.5900,19.2000,7409169,127485527.3100
51,2024-02-23,sh.688622,18.6100,21.9500,18.5800,21.9300,4900294,98727906.2200
52,2024-03-01,sh.688622,21.5000,24.3800,19.7100,23.2000,8796896,192669888.9200
53,2024-03-08,sh.688622,22.5000,22.5200,20.1100,20.7100,5140079,108947053.4100
54,2024-03-15,sh.688622,20.8500,22.5500,20.2000,22.2800,4665197,101245377.4100
55,2024-03-22,sh.688622,22.4800,23.2800,21.6900,22.1300,4899892,110183324.3000
56,2024-03-29,sh.688622,22.0300,22.6100,20.2000,21.2200,3820933,80541141.5700
57,2024-04-03,sh.688622,21.6000,21.6500,20.0900,20.6200,2464936,51539569.0800
