,date,code,open,high,low,close,volume,amount
0,2023-07-21,sh.688627,66.1000,87.6000,66.0000,78.0000,44875638,3480873008.8000
1,2023-07-28,sh.688627,77.0000,89.8800,76.3200,79.0500,25784103,2124040347.8800
2,2023-08-04,sh.688627,76.8800,108.0000,75.5000,96.2000,17570973,1631479815.2300
3,2023-08-11,sh.688627,97.2000,98.3700,82.8800,86.2900,14149874,1261978430.5700
4,2023-08-18,sh.688627,86.0000,88.8300,79.8700,84.9100,8632624,726928279.6300
5,2023-08-25,sh.688627,84.1700,86.2900,75.0400,77.3300,7342829,598090543.3900
6,2023-09-01,sh.688627,81.9000,96.3200,73.9900,88.6800,14370533,1216714250.6600
7,2023-09-08,sh.688627,89.1500,94.6200,85.3500,92.1000,8843862,793682532.7400
8,2023-09-15,sh.688627,91.4600,92.0000,83.0800,85.4500,4869685,428514024.4500
9,2023-09-22,sh.688627,84.2800,86.1200,79.0000,82.1000,2399423,196315065.3300
10,2023-09-28,sh.688627,82.1300,92.0000,79.7800,90.2800,3026744,256646278.0800
11,2023-10-13,sh.688627,89.0000,96.6100,85.9300,94.5000,3971920,360032499.2200
12,2023-10-20,sh.688627,93.7900,94.3900,87.1000,88.0600,2967115,270368728.1600
13,2023-10-27,sh.688627,88.4000,91.3400,83.5000,87.0000,3370747,290420536.9500
14,2023-11-03,sh.688627,89.4400,112.8000,87.0000,95.0100,11308253,1118573823.0100
15,2023-11-10,sh.688627,95.0100,108.7500,94.5600,103.7700,4467543,445199971.8700
16,2023-11-17,sh.688627,103.1200,105.8600,95.5200,97.3600,3606543,358799368.1700
17,2023-11-24,sh.688627,99.6900,101.2600,92.1600,92.6100,4586601,437802352.2800
18,2023-12-01,sh.688627,92.3400,109.7700,91.0500,95.3700,4328865,419301130.7700
19,2023-12-08,sh.688627,95.0300,97.3400,89.3100,89.5100,2477908,229806288.9300
20,2023-12-15,sh.688627,89.0000,93.3600,86.5000,87.4000,1955661,175736903.4200
21,2023-12-22,sh.688627,87.0000,88.0000,83.0000,85.1700,1659163,141733895.4200
22,2023-12-29,sh.688627,84.3000,90.5600,81.3900,89.1800,1960807,168065827.6400
23,2024-01-05,sh.688627,89.5000,89.9400,77.1800,77.4000,2569875,211254547.3400
24,2024-01-12,sh.688627,77.4900,77.9900,68.0700,70.5400,4724068,337918177.6900
25,2024-01-19,sh.688627,70.0000,71.9900,64.0000,64.7100,4564176,307723489.6700
26,2024-01-26,sh.688627,64.2900,65.8500,57.6000,59.1100,3710307,224196336.2200
27,2024-02-02,sh.688627,60.2700,60.9800,47.6000,49.6000,6115792,330189225.0400
28,2024-02-08,sh.688627,49.0100,50.3000,38.0500,48.3000,11536095,496051635.4900
29,2024-02-23,sh.688627,49.7100,57.4400,48.2300,57.0000,12110881,644655821.2100
30,2024-03-01,sh.688627,58.0000,66.8000,56.1300,62.1300,15513230,953754227.5200
31,2024-03-08,sh.688627,62.5000,67.1700,59.3100,62.8900,10365729,650145247.9900
32,2024-03-15,sh.688627,62.5000,78.0000,61.0000,74.7900,16640014,1192854677.0100
33,2024-03-22,sh.688627,74.0000,81.0600,71.1100,77.0000,11945554,902065583.9300
34,2024-03-29,sh.688627,77.0000,77.0000,65.9900,69.3600,7701475,539327924.7800
35,2024-04-03,sh.688627,68.9000,72.9800,66.9700,69.6200,3748979,260459716.9500
