,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688658,19.6500,20.9400,19.5800,20.3000,17870379,362373688.4100
1,2023-02-24,sh.688658,20.3200,20.6600,19.3800,19.4900,12295287,244544854.7500
2,2023-03-03,sh.688658,19.3500,19.9600,17.8600,19.5000,20226921,386869003.2500
3,2023-03-10,sh.688658,19.4500,20.6600,19.2300,19.5100,17826950,354753691.2100
4,2023-03-17,sh.688658,19.3400,19.9200,18.5500,19.1900,22225747,428659251.0100
5,2023-03-24,sh.688658,19.1500,19.5000,17.9700,18.3800,30084094,562597309.6200
6,2023-03-31,sh.688658,18.2900,20.9400,17.9800,20.5700,32172677,642645076.6000
7,2023-04-07,sh.688658,20.5000,22.3800,20.4300,22.1200,20683860,439371374.3100
8,2023-04-14,sh.688658,22.1200,22.7200,21.0000,22.3600,26754626,585843226.4900
9,2023-04-21,sh.688658,22.3600,22.7900,21.7400,22.0800,14641171,328045908.6200
10,2023-04-28,sh.688658,22.0100,22.5600,20.7000,21.9100,20834179,451930814.9500
11,2023-05-05,sh.688658,21.7200,22.3600,21.0500,21.3000,7265500,157589397.0800
12,2023-05-12,sh.688658,21.4500,21.6500,20.5000,21.0000,13184866,276558564.8700
13,2023-05-19,sh.688658,21.3700,24.9600,21.0400,23.9700,32617727,763935985.2700
14,2023-05-26,sh.688658,23.9200,26.4000,23.9200,25.1900,30809500,777755328.6800
15,2023-06-02,sh.688658,25.3800,27.2800,24.4500,26.5200,24220227,624381874.3200
16,2023-06-09,sh.688658,26.4400,27.8800,25.0200,25.7100,22748658,597753768.8600
17,2023-06-16,sh.688658,25.7200,26.1900,24.0900,24.5200,23013604,576880299.0300
18,2023-06-21,sh.688658,24.4500,25.7000,23.7800,23.9400,14680898,361134278.1100
19,2023-06-30,sh.688658,23.7800,23.7800,19.1500,20.8100,40990350,831376123.0200
20,2023-07-07,sh.688658,20.8300,20.8300,18.7000,18.7800,29470981,573176739.3000
21,2023-07-14,sh.688658,18.8400,19.0300,17.9200,17.9400,19392080,355793947.6400
22,2023-07-21,sh.688658,17.9400,18.0300,17.1500,17.2900,18734675,327261572.3000
23,2023-07-28,sh.688658,17.4600,18.4300,17.2800,18.2700,20152921,364629109.4900
24,2023-08-04,sh.688658,18.4200,18.4500,17.5000,18.2600,19331534,346838059.2500
25,2023-08-11,sh.688658,18.3300,18.3500,16.1100,16.5900,33542648,561055813.1900
26,2023-08-18,sh.688658,16.5900,17.3500,16.3600,16.3900,21046431,352496631.8600
27,2023-08-25,sh.688658,16.3900,16.5500,15.5100,15.5800,18841729,301367562.8000
28,2023-09-01,sh.688658,16.7100,17.0500,15.5300,17.0100,23861058,393237909.3500
29,2023-09-08,sh.688658,17.1300,17.1500,16.2500,16.3100,17497235,292532152.2300
30,2023-09-15,sh.688658,16.3900,17.1400,16.3300,16.8900,22217056,373886709.1500
31,2023-09-22,sh.688658,16.9200,17.2500,16.5000,17.2000,16803245,284507698.4100
32,2023-09-28,sh.688658,17.2300,18.2500,17.1000,18.2200,21999008,391497467.0200
33,2023-10-13,sh.688658,18.4000,18.9900,17.7000,18.2400,24027018,437320511.3700
34,2023-10-20,sh.688658,18.3700,20.1700,17.1000,17.2900,38945872,710160893.8900
35,2023-10-27,sh.688658,17.3800,18.6900,16.6300,18.6300,22453236,390356387.9200
36,2023-11-03,sh.688658,18.5800,19.2600,16.7000,18.7700,58259558,1056730184.0900
37,2023-11-10,sh.688658,18.8800,22.1400,17.9000,21.0800,57735763,1141037047.7300
38,2023-11-17,sh.688658,21.3400,22.0800,20.6100,21.7800,32145907,683637836.4900
39,2023-11-24,sh.688658,21.9100,21.9600,19.8000,21.7000,37020327,771699792.2600
40,2023-12-01,sh.688658,21.6000,23.5000,21.4300,23.2800,35573970,801306635.5600
41,2023-12-08,sh.688658,23.1700,23.7000,21.3600,21.6300,38261215,864453402.2600
42,2023-12-15,sh.688658,21.7300,22.9200,20.6700,21.3600,31563684,683314533.3100
43,2023-12-22,sh.688658,21.0000,23.7900,20.9100,22.4700,35748612,804745260.8600
44,2023-12-29,sh.688658,22.6400,22.6400,19.2000,20.8600,31750807,650622155.6900
45,2024-01-05,sh.688658,21.0400,21.1800,19.6200,19.7400,19325440,393402853.0000
46,2024-01-12,sh.688658,19.5300,19.7000,18.4000,19.0100,15642384,296959622.4700
47,2024-01-19,sh.688658,19.0000,19.4800,17.4600,18.0000,13618689,249345579.0000
48,2024-01-26,sh.688658,17.7800,17.7800,15.9500,16.6900,12705844,213267864.4700
49,2024-02-02,sh.688658,16.7800,17.0800,13.6700,14.1000,16283650,249845437.3700
50,2024-02-08,sh.688658,14.1200,15.1500,11.9900,15.1300,26509555,362899792.9400
51,2024-02-23,sh.688658,15.1100,16.1600,14.8100,15.7600,13746638,212667337.4200
52,2024-03-01,sh.688658,15.4900,17.5300,15.3000,17.4500,19139087,314609829.4900
53,2024-03-08,sh.688658,17.3200,18.1100,16.6500,16.8500,12475976,216439739.5400
54,2024-03-15,sh.688658,17.0000,18.4600,16.5400,17.6100,17098972,300484492.2900
55,2024-03-22,sh.688658,17.8900,19.0600,17.6500,18.1500,19218999,351860627.7000
56,2024-03-29,sh.688658,18.0000,18.2100,16.7700,16.9600,10632201,184907877.5700
57,2024-04-03,sh.688658,16.9800,17.3300,16.1600,16.3700,6744453,112845665.6800
