,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688663,44.0500,45.8000,39.5000,41.8300,21487316,914660722.1700
1,2023-02-24,sh.688663,41.9000,43.6000,40.1800,41.1100,18462545,768031390.7400
2,2023-03-03,sh.688663,41.0000,42.8000,39.0000,40.0200,12828635,517886755.6300
3,2023-03-10,sh.688663,39.8800,41.9800,38.7300,39.6400,16846954,681019009.6800
4,2023-03-17,sh.688663,39.6400,40.9000,34.8000,34.9300,18148039,677504993.4100
5,2023-03-24,sh.688663,35.0100,38.5300,34.0000,36.8900,19882385,733219684.4800
6,2023-03-31,sh.688663,36.8900,38.8600,35.5000,36.6900,19079068,706580836.7800
7,2023-04-07,sh.688663,36.4800,37.8300,34.6300,35.7700,15281627,551460943.0700
8,2023-04-14,sh.688663,36.0000,37.4900,33.9200,34.8200,20447067,727615780.7000
9,2023-04-21,sh.688663,34.6900,35.8500,32.9800,33.2900,19595765,675326822.7300
10,2023-04-28,sh.688663,33.1000,35.9900,30.8000,33.9800,19157700,642213703.4000
11,2023-05-05,sh.688663,33.9900,34.9500,32.1500,32.5500,5488883,184463906.0600
12,2023-05-12,sh.688663,32.8600,33.2500,30.5500,31.6000,13345028,427746852.4300
13,2023-05-19,sh.688663,31.5600,35.2000,31.5600,33.8300,16224455,548867757.0800
14,2023-05-26,sh.688663,33.5100,36.8000,33.5100,34.6000,16886861,591389980.9800
15,2023-06-02,sh.688663,34.4400,34.6300,31.9700,32.6400,14704969,485989656.0800
16,2023-06-09,sh.688663,32.6400,32.8100,29.4000,29.8900,11007075,339372892.9200
17,2023-06-16,sh.688663,29.6200,31.0000,28.8700,30.9000,12869602,386569328.3100
18,2023-06-21,sh.688663,30.7800,31.6900,30.3100,30.3500,6410310,199437159.4800
19,2023-06-30,sh.688663,30.0000,31.9800,29.5100,31.7900,11622632,360811009.5700
20,2023-07-07,sh.688663,31.8700,37.3300,31.8200,34.5200,30248619,1071422977.8700
21,2023-07-14,sh.688663,34.7000,36.0700,33.8000,33.8500,11678837,410433659.3500
22,2023-07-21,sh.688663,33.8400,34.3700,31.9300,32.0500,6967975,230674485.1400
23,2023-07-28,sh.688663,31.9000,32.5700,30.8700,31.6400,7161543,226348751.1100
24,2023-08-04,sh.688663,31.5000,32.3000,30.5200,31.6800,7789153,245219410.6500
25,2023-08-11,sh.688663,31.5000,31.8000,29.4500,30.1800,4883064,150149336.4900
26,2023-08-18,sh.688663,29.9000,30.4700,27.7800,28.2300,9408460,271029934.5600
27,2023-08-25,sh.688663,28.5800,30.5000,26.5100,29.5000,12153317,346911199.0400
28,2023-09-01,sh.688663,30.7900,31.4800,28.9300,29.4000,12327627,369585044.4500
29,2023-09-08,sh.688663,29.7500,30.1000,28.2000,28.2000,7166879,208594215.3400
30,2023-09-15,sh.688663,28.3500,29.7700,26.9000,27.0800,8363697,236009135.5900
31,2023-09-22,sh.688663,26.9000,28.6700,26.2000,27.2800,7690032,208161364.2100
32,2023-09-28,sh.688663,27.1900,29.5000,26.9500,28.7200,8019497,225718865.2300
33,2023-10-13,sh.688663,28.5000,29.5000,27.6900,27.9500,13573416,385656491.7000
34,2023-10-20,sh.688663,27.3500,27.9000,25.8000,26.7800,10630408,285430354.4100
35,2023-10-27,sh.688663,26.6700,28.8600,25.5600,28.5900,13574189,370000953.9900
36,2023-11-03,sh.688663,28.5300,28.8000,26.5100,27.3000,10381053,287527294.6200
37,2023-11-10,sh.688663,27.5000,29.0700,27.3600,27.9900,11981629,340068733.0300
38,2023-11-17,sh.688663,28.0800,29.4100,27.8800,28.7900,11713784,336236204.8700
39,2023-11-24,sh.688663,28.8500,28.8800,27.1400,27.2900,7435333,208817862.6900
40,2023-12-01,sh.688663,27.0700,28.4100,26.7600,27.0400,5769533,158429206.5700
41,2023-12-08,sh.688663,27.1400,27.3700,26.1700,26.3800,5515462,147542960.2600
42,2023-12-15,sh.688663,26.0000,27.0000,25.7300,26.4000,5269435,139307486.8900
43,2023-12-22,sh.688663,26.3000,27.2800,25.2000,26.7100,7497048,195923923.5200
44,2023-12-29,sh.688663,26.4800,28.5000,25.5000,28.0400,11724035,318352839.1100
45,2024-01-05,sh.688663,27.9400,28.0400,26.3200,26.5200,7114392,194335888.1400
46,2024-01-12,sh.688663,26.4000,27.9600,25.2800,27.3100,12988650,345632781.8500
47,2024-01-19,sh.688663,27.2300,27.7500,25.5100,25.5500,10067787,267756471.0600
48,2024-01-26,sh.688663,25.4500,25.4700,22.3000,23.7000,11630257,276434789.3900
49,2024-02-02,sh.688663,23.9100,24.1100,18.3500,19.0000,10688209,225288771.8900
50,2024-02-08,sh.688663,18.9700,20.8800,15.9000,20.6900,13409474,243429774.0600
51,2024-02-23,sh.688663,20.7500,22.5300,20.0300,21.9000,11199201,235779433.3700
52,2024-03-01,sh.688663,21.7500,23.8900,20.9100,22.2600,14029607,313378913.1500
53,2024-03-08,sh.688663,22.5000,23.0100,21.6000,22.3100,14199698,316826475.4800
54,2024-03-15,sh.688663,22.6000,24.0000,22.5200,22.9300,16262022,376696394.3500
55,2024-03-22,sh.688663,23.1600,23.6400,22.1000,22.3500,10971048,252905017.5500
56,2024-03-29,sh.688663,22.2600,22.4900,20.6500,21.4400,8978155,193212542.2800
57,2024-04-03,sh.688663,21.3100,22.6600,21.3100,21.8300,6979726,154569992.8400
