,date,code,open,high,low,close,volume,amount
0,2023-02-17,sh.688788,44.6900,45.8800,43.1000,43.6900,4018086,178271939.0100
1,2023-02-24,sh.688788,43.6900,45.4100,42.7200,44.5800,3397416,150601247.2700
2,2023-03-03,sh.688788,44.6300,46.3700,42.9400,45.7500,3919802,175123098.7600
3,2023-03-10,sh.688788,45.7800,47.5000,42.5000,46.0800,5738931,259604860.9500
4,2023-03-17,sh.688788,46.0500,47.5100,44.5600,45.2100,4818961,222048491.8900
5,2023-03-24,sh.688788,45.2200,47.7700,44.4000,46.1800,5395296,248585527.5600
6,2023-03-31,sh.688788,46.3500,46.5300,44.0500,44.2100,4041429,182910131.1900
7,2023-04-07,sh.688788,44.7000,51.3300,44.2000,50.4600,7593286,367229923.9000
8,2023-04-14,sh.688788,51.0000,55.6100,47.3000,52.9700,11108244,572033110.2700
9,2023-04-21,sh.688788,52.5500,54.1000,49.2800,49.4100,7135479,365895456.5700
10,2023-04-28,sh.688788,49.0300,49.2700,44.0500,46.6900,5444560,252299061.2400
11,2023-05-05,sh.688788,43.3800,43.3800,40.2000,41.0200,3146336,129200262.4000
12,2023-05-12,sh.688788,41.1900,41.3800,38.5000,38.8300,2977801,118563301.8300
13,2023-05-19,sh.688788,38.7300,41.4800,38.0500,41.2500,3157116,125669346.4600
14,2023-05-26,sh.688788,41.2500,41.7900,40.2000,40.9200,1897042,77974905.4400
15,2023-06-02,sh.688788,41.2900,42.0500,40.3900,41.4500,2107784,87251142.2200
16,2023-06-09,sh.688788,41.6100,42.3500,39.5000,40.1800,2760623,112247200.1400
17,2023-06-16,sh.688788,40.2400,42.5100,39.6400,40.9200,3814431,156388794.9300
18,2023-06-21,sh.688788,40.7200,42.7900,40.7200,41.0600,2561246,106969116.7900
19,2023-06-30,sh.688788,41.2900,41.6400,37.7000,41.4500,3534931,140646324.5200
20,2023-07-07,sh.688788,41.9800,42.5100,40.1600,40.1900,2542270,105369338.3300
21,2023-07-14,sh.688788,40.4800,41.5000,39.5000,40.5300,2022692,81956196.5900
22,2023-07-21,sh.688788,40.8500,41.4000,37.6700,37.7000,2835384,110345703.7900
23,2023-07-28,sh.688788,37.7300,38.8000,36.6900,37.1700,2036242,76504337.3200
24,2023-08-04,sh.688788,37.2500,38.1900,37.0400,37.8000,1789904,67345625.1300
25,2023-08-11,sh.688788,37.6900,37.8600,36.6300,36.9100,1564727,58033351.8400
26,2023-08-18,sh.688788,36.7800,38.3000,34.5200,37.2200,3819168,138611329.9000
27,2023-08-25,sh.688788,37.2200,37.5900,33.2600,33.4900,2248561,79235086.6500
28,2023-09-01,sh.688788,35.1100,38.8200,33.9000,37.3800,5136379,191051232.9700
29,2023-09-08,sh.688788,37.4300,39.3000,37.0700,38.7900,3500029,133896859.3200
30,2023-09-15,sh.688788,38.8300,40.0000,37.7400,38.5500,2983928,116169807.9100
31,2023-09-22,sh.688788,38.4200,38.6700,36.7800,38.0300,2189943,82285398.8900
32,2023-09-28,sh.688788,37.8800,38.9000,37.1500,38.5200,1724983,65568056.6900
33,2023-10-13,sh.688788,38.6000,39.0900,37.7300,37.8200,1824876,69804925.2600
34,2023-10-20,sh.688788,38.0000,38.0000,35.2400,35.2400,1952336,70959023.1400
35,2023-10-27,sh.688788,35.4000,38.1900,34.7000,38.0000,2539360,93052310.8800
36,2023-11-03,sh.688788,37.8100,39.6600,37.4800,38.7500,2600245,100793615.1800
37,2023-11-10,sh.688788,39.0000,39.8300,38.5200,38.8000,2417760,94755520.0300
38,2023-11-17,sh.688788,38.8200,41.7900,38.8200,40.4100,3196443,129322132.1000
39,2023-11-24,sh.688788,40.4900,40.8900,38.8000,38.9100,1859317,74256193.2200
40,2023-12-01,sh.688788,38.8200,40.3800,38.6300,39.7600,2058567,81200949.3600
41,2023-12-08,sh.688788,39.7600,40.1400,37.8700,38.1500,2049658,79103377.7900
42,2023-12-15,sh.688788,37.9400,39.2700,37.6200,38.2000,1879465,72404941.7000
43,2023-12-22,sh.688788,37.8800,38.5500,36.4900,37.0400,1861220,69564303.3200
44,2023-12-29,sh.688788,36.9800,38.7600,35.6000,38.6800,1781840,66186350.4800
45,2024-01-05,sh.688788,38.8800,39.6400,36.9000,37.0400,1558326,59786367.4100
46,2024-01-12,sh.688788,36.6300,37.0800,35.5000,35.7900,2121088,76734021.8600
47,2024-01-19,sh.688788,36.1300,36.1300,31.8700,32.1300,2867130,96763730.6600
48,2024-01-26,sh.688788,32.3300,32.4200,28.1800,30.5400,3202554,96829191.0000
49,2024-02-02,sh.688788,30.9800,30.9800,24.2200,25.0000,2946406,81511810.9500
50,2024-02-08,sh.688788,24.3800,25.2100,20.5100,24.2100,5104747,116834684.8600
51,2024-02-23,sh.688788,24.8000,28.9900,24.8000,28.8800,3074748,81977290.1600
52,2024-03-01,sh.688788,28.6000,30.8700,26.4000,28.3300,4119320,116999616.6800
53,2024-03-08,sh.688788,28.7200,28.8800,27.2200,28.1800,2990584,83666552.0500
54,2024-03-15,sh.688788,28.1800,29.9300,27.7000,29.4000,3268563,94721675.0700
55,2024-03-22,sh.688788,29.4700,31.8700,29.4300,30.4200,3020457,92615939.9700
56,2024-03-29,sh.688788,30.4200,30.5400,27.3000,29.2300,2373035,68416885.6300
57,2024-04-03,sh.688788,29.1100,30.2400,28.7000,29.2200,1142969,33696328.2000
