,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000004,10.1300,10.1800,9.5900,9.6900,8832510,87568136.9000
1,2023-02-24,sz.000004,9.6800,10.1600,9.5800,9.9000,6886240,67636466.6300
2,2023-03-03,sz.000004,9.9100,10.1000,9.6700,9.9000,5066373,50124159.1400
3,2023-03-10,sz.000004,9.9000,10.3000,9.6600,10.0800,6983422,69289203.0800
4,2023-03-17,sz.000004,9.9600,10.1600,9.6900,9.7700,5874169,57798626.1100
5,2023-03-24,sz.000004,9.7700,10.3700,9.6400,10.2100,7594413,76141683.4100
6,2023-03-31,sz.000004,10.3500,10.4800,9.6600,9.9000,7885639,78623971.5300
7,2023-04-07,sz.000004,9.9700,10.2100,9.5800,9.9600,9368120,92280093.4000
8,2023-04-14,sz.000004,10.0000,10.2300,9.6700,10.0400,9666294,96566026.9000
9,2023-04-21,sz.000004,10.0300,11.4300,10.0100,10.5700,24017197,259096392.5100
10,2023-04-28,sz.000004,10.6000,10.9400,9.9300,10.5000,18701471,196664538.1100
11,2023-05-05,sz.000004,11.0300,11.3700,10.9400,11.2400,11181006,123715798.3000
12,2023-05-12,sz.000004,11.1400,11.3800,10.0900,10.6600,16038003,168881595.6100
13,2023-05-19,sz.000004,10.7400,10.8700,10.0200,10.8100,10614281,111232040.0900
14,2023-05-26,sz.000004,10.7000,12.7300,10.6800,12.7300,17710275,210148374.6100
15,2023-06-02,sz.000004,13.2000,14.6700,12.8300,13.8700,36593332,501315003.6500
16,2023-06-09,sz.000004,13.7400,16.0500,13.7400,15.1600,27065708,410125941.0700
17,2023-06-16,sz.000004,15.0400,15.6600,14.0800,15.6600,29394979,433243399.7500
18,2023-06-21,sz.000004,16.0000,16.0000,14.1700,14.1700,12292501,183569000.1000
19,2023-06-30,sz.000004,13.8900,16.6000,13.7200,15.2500,44489989,669366208.9700
20,2023-07-07,sz.000004,15.1200,18.9800,13.4000,16.9800,101026595,1627969001.0000
21,2023-07-14,sz.000004,16.3600,19.1000,14.3200,19.1000,94229557,1522060700.5700
22,2023-07-21,sz.000004,21.0100,23.1100,18.5000,18.5000,168087953,3527992269.1500
23,2023-07-28,sz.000004,17.3000,20.8600,17.1100,18.4700,139279306,2617927683.1000
24,2023-08-04,sz.000004,18.3900,21.0500,17.6600,20.2000,142608053,2793453212.1400
25,2023-08-11,sz.000004,19.7500,22.0600,17.6500,17.7000,118707780,2376103992.6400
26,2023-08-18,sz.000004,17.4500,18.9500,16.6400,16.6500,65896425,1168518150.3400
27,2023-08-25,sz.000004,16.6400,18.2500,15.3800,15.5000,68627263,1164238679.4400
28,2023-09-01,sz.000004,16.2900,17.0900,15.1200,16.3000,47429483,763626736.3400
29,2023-09-08,sz.000004,16.3000,17.5000,16.3000,16.7400,45367600,762295209.0000
30,2023-09-15,sz.000004,16.6500,16.9000,15.2300,15.3100,32865606,529352665.8500
31,2023-09-22,sz.000004,15.4000,17.2500,15.0500,16.5900,61010767,998004191.5400
32,2023-09-28,sz.000004,16.5000,16.7800,15.8000,16.0300,44551622,726727685.4000
33,2023-10-13,sz.000004,16.0400,18.5000,15.7100,17.9400,102935022,1804142138.5200
34,2023-10-20,sz.000004,17.6600,19.5000,16.0000,16.1300,88018621,1565271880.2900
35,2023-10-27,sz.000004,16.2300,17.6000,15.6500,16.6400,56471794,952809348.3300
36,2023-11-03,sz.000004,16.6600,18.4600,16.2000,16.5300,52816240,900267995.4900
37,2023-11-10,sz.000004,16.5000,20.5900,16.4300,19.1500,91768567,1676732426.4000
38,2023-11-17,sz.000004,19.0000,19.6900,18.2600,18.5500,94567268,1805466853.0800
39,2023-11-24,sz.000004,19.1300,19.4000,17.7000,18.0300,63568807,1180525508.5600
40,2023-12-01,sz.000004,18.0400,18.5400,17.1500,17.9200,34162536,607612310.8500
41,2023-12-08,sz.000004,17.7000,18.4500,16.8800,17.2000,30710888,538814762.0700
42,2023-12-15,sz.000004,17.2000,17.8200,16.6100,16.7800,25166753,434811017.6700
43,2023-12-22,sz.000004,16.6800,17.2300,15.9800,15.9900,21760191,360236735.0700
44,2023-12-29,sz.000004,16.0700,16.2300,15.3000,16.1300,18577880,292330526.0000
45,2024-01-05,sz.000004,16.1000,17.5300,15.9000,16.3600,34914740,583036308.7200
46,2024-01-12,sz.000004,16.2500,17.1000,15.4000,16.0300,47284663,774782994.3900
47,2024-01-19,sz.000004,15.7700,16.0300,14.3900,14.7700,25490720,385001444.0000
48,2024-01-26,sz.000004,14.6900,15.8900,13.1400,14.7800,37342638,538020974.4500
49,2024-02-02,sz.000004,14.4800,15.3800,10.9000,11.3600,37506395,504070759.1000
50,2024-02-08,sz.000004,11.3500,11.3500,8.6000,9.6300,32798626,308169691.8400
51,2024-02-23,sz.000004,9.7600,11.9700,9.7600,11.9300,42020143,454854974.9200
52,2024-03-01,sz.000004,12.0000,14.3900,11.2700,12.7900,65103748,834740960.5300
53,2024-03-08,sz.000004,12.7900,13.8600,12.3000,13.2600,81225495,1073831719.0400
54,2024-03-15,sz.000004,13.0300,16.7300,12.9000,15.8700,103775329,1508889174.9100
55,2024-03-22,sz.000004,15.0200,15.8800,14.3700,14.5600,68826112,1041819980.4500
56,2024-03-29,sz.000004,14.4100,15.5000,14.0700,15.0500,56520722,842943924.6900
57,2024-04-03,sz.000004,15.0500,15.1900,13.5000,13.5000,23800519,344574687.6600
