,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000006,5.8600,5.8600,5.3000,5.3600,240468313,1348228177.6800
1,2023-02-24,sz.000006,5.3600,6.1500,5.2200,5.8800,484554084,2829950772.3400
2,2023-03-03,sz.000006,5.9200,5.9700,5.6200,5.8700,230721029,1327708855.8400
3,2023-03-10,sz.000006,5.8000,5.8200,5.3600,5.6500,178544264,998573432.8000
4,2023-03-17,sz.000006,5.5000,5.5600,5.3100,5.3900,111218157,602478369.7900
5,2023-03-24,sz.000006,5.4100,5.4300,5.2300,5.4100,101278371,539053338.9900
6,2023-03-31,sz.000006,5.3500,5.3500,4.9600,5.0800,92788438,478156218.1300
7,2023-04-07,sz.000006,5.0800,5.2300,4.9500,5.1600,87142277,444599745.3900
8,2023-04-14,sz.000006,5.1400,5.2200,4.9900,5.1100,100088487,512148419.2900
9,2023-04-21,sz.000006,5.1000,5.1400,4.7800,4.7900,79755031,397237197.3000
10,2023-04-28,sz.000006,4.7500,4.8500,4.6100,4.8400,70578922,334008868.0100
11,2023-05-05,sz.000006,4.7800,4.9700,4.7400,4.9300,40185205,195776197.4400
12,2023-05-12,sz.000006,4.8600,5.1300,4.7900,4.8100,120762705,592874778.7800
13,2023-05-19,sz.000006,4.7900,4.8400,4.6300,4.6500,56367334,266641147.6800
14,2023-05-26,sz.000006,4.6500,4.7600,4.5800,4.7000,54775944,255948790.0500
15,2023-06-02,sz.000006,4.7000,4.7800,4.4900,4.7500,59669595,276596481.4600
16,2023-06-09,sz.000006,4.7100,4.9300,4.6500,4.8100,96513760,462406824.4600
17,2023-06-16,sz.000006,4.8000,4.8600,4.7100,4.7900,56671859,270739691.2700
18,2023-06-21,sz.000006,4.8000,4.8200,4.3800,4.3800,46036013,210408067.3100
19,2023-06-30,sz.000006,4.3700,4.4800,4.2900,4.3700,53350210,233148973.8800
20,2023-07-07,sz.000006,4.3900,4.4600,4.3400,4.4400,42154505,185701171.1600
21,2023-07-14,sz.000006,4.4300,4.5000,4.3300,4.3900,39402515,173199801.8800
22,2023-07-21,sz.000006,4.3700,4.5900,4.3000,4.5600,66429606,296601101.0000
23,2023-07-28,sz.000006,4.7100,5.1500,4.5300,4.9900,317748259,1552308015.2300
24,2023-08-04,sz.000006,5.0900,5.3200,5.0200,5.1900,239111127,1236604023.1900
25,2023-08-11,sz.000006,5.1100,5.8300,4.9300,5.8300,396535156,2176915266.9100
26,2023-08-18,sz.000006,5.4000,5.9400,5.0100,5.3900,801999553,4435638075.0200
27,2023-08-25,sz.000006,5.4200,5.6900,5.1300,5.3000,447704597,2422040447.7100
28,2023-09-01,sz.000006,5.6500,6.1000,4.8600,4.9600,619824128,3455260869.8300
29,2023-09-08,sz.000006,5.0200,5.0900,4.6400,4.7000,248222438,1195601382.6300
30,2023-09-15,sz.000006,4.6900,4.7800,4.5900,4.6800,114294505,535438595.6100
31,2023-09-22,sz.000006,4.6100,4.6900,4.5600,4.6800,87468577,404804367.2800
32,2023-09-28,sz.000006,4.6800,4.6800,4.4900,4.5400,58622621,266040606.1400
33,2023-10-13,sz.000006,4.5400,4.5400,4.3200,4.3900,81574455,359287876.4300
34,2023-10-20,sz.000006,4.3900,4.4400,4.1700,4.2500,87038862,372859133.1000
35,2023-10-27,sz.000006,4.2200,4.3800,4.1300,4.3200,72044565,307538192.8400
36,2023-11-03,sz.000006,4.3100,4.4200,4.2500,4.4100,100604939,437710401.8700
37,2023-11-10,sz.000006,4.4100,4.5800,4.3900,4.4700,99645121,447659668.0600
38,2023-11-17,sz.000006,4.4600,4.6100,4.4400,4.5000,80881650,365005495.1100
39,2023-11-24,sz.000006,4.5200,5.4600,4.4900,4.8800,351324104,1782850460.4900
40,2023-12-01,sz.000006,4.7600,4.8200,4.5400,4.6700,221819484,1032310903.1400
41,2023-12-08,sz.000006,4.6400,4.8800,4.5900,4.7100,205997587,976920746.6400
42,2023-12-15,sz.000006,4.6900,4.9800,4.6100,4.8700,165779437,798587495.7600
43,2023-12-22,sz.000006,4.8000,4.8900,4.4600,4.4800,120463134,560762652.6000
44,2023-12-29,sz.000006,4.4500,4.7800,4.3300,4.5900,135485575,610597434.3200
45,2024-01-05,sz.000006,4.5800,4.6300,4.4300,4.5200,96412557,434894277.9400
46,2024-01-12,sz.000006,4.6600,4.7400,4.3500,4.4600,132901446,594628684.8200
47,2024-01-19,sz.000006,4.4400,4.5600,4.1600,4.4000,135186961,595949100.0800
48,2024-01-26,sz.000006,4.3200,4.8700,4.0800,4.7100,223597913,1006907466.0700
49,2024-02-02,sz.000006,4.8000,5.1800,3.7500,3.9500,322224083,1439601171.7500
50,2024-02-08,sz.000006,3.9300,4.1000,3.2900,4.0500,146932208,549940600.8800
51,2024-02-23,sz.000006,4.0300,4.1500,3.9200,4.0700,126115669,505863765.9000
52,2024-03-01,sz.000006,4.0600,4.2500,3.9500,4.1500,140786792,576177392.4000
53,2024-03-08,sz.000006,4.0800,4.0900,3.8800,3.9600,98406703,389956218.4000
54,2024-03-15,sz.000006,3.9600,4.1500,3.9400,4.0100,108844159,437901846.1300
55,2024-03-22,sz.000006,4.0100,4.0400,3.8800,3.9400,85065819,338520286.1400
56,2024-03-29,sz.000006,3.9000,4.0200,3.8000,3.9500,95758159,374245865.8400
57,2024-04-03,sz.000006,3.9800,4.0200,3.8600,3.8700,44033995,173339731.3500
