,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000050,9.6500,10.1200,9.5500,9.5500,61306855,601724614.3400
1,2023-02-24,sz.000050,9.5500,9.7600,9.5000,9.5800,39535772,379979211.7800
2,2023-03-03,sz.000050,9.5600,9.8800,9.4100,9.7700,41051723,396121051.6800
3,2023-03-10,sz.000050,9.7800,10.7300,9.6000,10.7300,82179345,833632072.0600
4,2023-03-17,sz.000050,10.5000,10.5000,9.8100,9.9300,213629078,2158743379.0700
5,2023-03-24,sz.000050,9.9400,11.1700,9.9400,10.9400,176357710,1849159599.7300
6,2023-03-31,sz.000050,10.9200,11.0500,10.3500,10.5100,114014945,1211426892.5600
7,2023-04-07,sz.000050,10.5700,11.3800,10.5000,11.0300,115171639,1261587321.1000
8,2023-04-14,sz.000050,10.9900,11.0700,10.6100,10.7900,107022078,1162107540.0100
9,2023-04-21,sz.000050,10.7900,10.8500,10.0900,10.1000,74443608,780515239.8200
10,2023-04-28,sz.000050,10.0500,10.2000,9.6900,9.8600,52925815,523897763.7300
11,2023-05-05,sz.000050,9.2000,9.3000,8.7000,8.8000,55776951,497649470.2000
12,2023-05-12,sz.000050,8.8400,9.3700,8.7800,9.0400,63777870,580792555.4300
13,2023-05-19,sz.000050,9.0400,9.4300,8.9300,9.3700,40397633,369093941.2800
14,2023-05-26,sz.000050,9.3900,9.4600,9.1500,9.3600,30690899,285846265.8000
15,2023-06-02,sz.000050,9.3600,9.7100,9.3600,9.6400,35173363,336554902.3800
16,2023-06-09,sz.000050,9.6400,9.7400,9.2000,9.3500,32138596,303247426.8500
17,2023-06-16,sz.000050,9.3500,9.4900,9.2800,9.4900,28740872,269738283.3100
18,2023-06-21,sz.000050,9.4600,9.6400,9.1800,9.1800,24323296,228843136.6800
19,2023-06-30,sz.000050,9.1300,9.2300,8.9700,9.1800,30959577,281189247.2200
20,2023-07-07,sz.000050,9.2400,9.5800,9.1800,9.4100,38311680,359504193.4000
21,2023-07-14,sz.000050,9.4100,9.6600,9.2700,9.6400,29217234,276229197.0200
22,2023-07-21,sz.000050,9.3000,9.4200,9.0100,9.0400,48987696,450438689.9800
23,2023-07-28,sz.000050,9.0200,9.3200,9.0100,9.2900,30301620,279780553.8300
24,2023-08-04,sz.000050,9.3000,9.5900,9.3000,9.5600,37535951,354716081.9300
25,2023-08-11,sz.000050,9.5800,9.5800,9.1700,9.1800,27481577,258181903.2300
26,2023-08-18,sz.000050,9.1500,9.2500,8.7000,8.7000,37251057,334253846.9000
27,2023-08-25,sz.000050,8.6900,8.7600,8.1300,8.1800,43879524,368664835.3300
28,2023-09-01,sz.000050,8.4600,8.7500,8.1100,8.7100,54475230,460890667.7900
29,2023-09-08,sz.000050,8.7100,9.2900,8.6700,9.2000,63603380,578096206.6200
30,2023-09-15,sz.000050,9.2500,9.4300,9.1000,9.1100,50888036,471523444.6600
31,2023-09-22,sz.000050,9.1400,9.3400,9.0600,9.2200,37412239,343185720.4400
32,2023-09-28,sz.000050,9.2000,9.2700,9.0300,9.2200,23510915,214866116.2200
33,2023-10-13,sz.000050,9.2200,9.7600,9.1500,9.7100,49416459,468813345.5400
34,2023-10-20,sz.000050,9.7300,10.2400,9.6300,9.7300,113332244,1123282843.7900
35,2023-10-27,sz.000050,9.6000,9.7800,9.3600,9.4900,83146429,798959759.6700
36,2023-11-03,sz.000050,9.4000,9.9800,9.3900,9.8700,59807169,585264297.3100
37,2023-11-10,sz.000050,10.0100,11.0800,9.9500,10.9200,165473123,1757125068.9800
38,2023-11-17,sz.000050,10.9100,11.1200,10.5900,10.6700,94581196,1024836867.3200
39,2023-11-24,sz.000050,10.6300,10.7300,10.3700,10.4300,48841979,514687898.5200
40,2023-12-01,sz.000050,10.4000,11.3300,10.3700,10.8000,122636044,1333093318.4000
41,2023-12-08,sz.000050,10.8000,10.8900,10.2500,10.5000,81203758,857134110.6200
42,2023-12-15,sz.000050,10.4700,10.4700,10.1900,10.2000,58164414,600963359.8700
43,2023-12-22,sz.000050,10.1800,10.3600,10.0000,10.1700,61313417,623484536.1700
44,2023-12-29,sz.000050,10.1600,10.7000,9.9000,10.6500,51364389,528524808.8600
45,2024-01-05,sz.000050,10.6500,10.6900,10.0700,10.1200,44183398,454747330.7900
46,2024-01-12,sz.000050,10.1300,10.2300,9.3700,9.4200,59899753,580343695.3700
47,2024-01-19,sz.000050,9.4000,9.6700,8.8000,9.0000,54062648,498288381.1300
48,2024-01-26,sz.000050,9.0000,9.3300,8.4000,9.1700,57849892,511513345.2200
49,2024-02-02,sz.000050,9.1700,9.2900,7.5500,7.8400,57750915,484825443.7300
50,2024-02-08,sz.000050,7.7300,9.5200,7.0700,9.1800,118426659,989232648.9000
51,2024-02-23,sz.000050,9.4600,9.4600,8.5100,8.9200,81115021,716129199.0800
52,2024-03-01,sz.000050,8.9500,9.3700,8.8000,9.3400,73705868,670038587.0200
53,2024-03-08,sz.000050,9.3400,9.3900,8.8400,9.0900,57562305,527281163.3300
54,2024-03-15,sz.000050,9.1000,9.3100,8.9800,9.1700,49473455,451505432.2200
55,2024-03-22,sz.000050,9.1500,9.2700,8.6800,8.7200,65135697,586252723.8200
56,2024-03-29,sz.000050,8.7000,8.7700,8.0100,8.2600,68847948,574409348.4600
57,2024-04-03,sz.000050,8.3000,8.9600,8.2700,8.3900,78366893,673691307.7400
