,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000156,8.1700,8.2900,7.9800,7.9800,45939164,372500777.4000
1,2023-02-24,sz.000156,8.0800,8.2200,7.9300,8.0100,34645332,279804894.4400
2,2023-03-03,sz.000156,7.9800,8.3200,7.8800,8.2700,36911792,300916895.2000
3,2023-03-10,sz.000156,8.2600,8.3700,8.1100,8.2300,32927411,271621752.1900
4,2023-03-17,sz.000156,8.2900,8.5600,8.1600,8.4800,37945431,316434572.0600
5,2023-03-24,sz.000156,8.5600,8.7400,8.5100,8.7300,43167505,372383564.7700
6,2023-03-31,sz.000156,8.7300,9.1500,8.6000,8.9400,62296823,550294684.3500
7,2023-04-07,sz.000156,8.9500,9.1500,8.6600,8.9500,43640320,389151181.0000
8,2023-04-14,sz.000156,8.9000,10.0700,8.9000,9.3300,153736672,1461562890.1100
9,2023-04-21,sz.000156,9.3000,9.4500,8.8100,8.9300,95161885,869549160.5600
10,2023-04-28,sz.000156,8.8800,9.5200,8.7600,9.4800,126299017,1163665643.8400
11,2023-05-05,sz.000156,9.5300,10.0600,9.5000,9.7000,68123297,664949158.6100
12,2023-05-12,sz.000156,9.7500,10.8900,9.4500,10.2100,244933793,2515649182.4000
13,2023-05-19,sz.000156,10.0500,10.1200,8.8800,9.0600,119020366,1100511277.0300
14,2023-05-26,sz.000156,9.0100,9.0400,8.2000,8.4700,67802331,581545725.6000
15,2023-06-02,sz.000156,8.4500,9.8300,8.4300,9.3600,119921156,1116191775.9800
16,2023-06-09,sz.000156,9.3600,9.8000,9.2800,9.7000,86259289,824183309.6800
17,2023-06-16,sz.000156,9.7800,9.9800,9.4500,9.5100,90484232,881429407.5700
18,2023-06-21,sz.000156,9.5600,9.6800,8.9300,8.9600,38818276,362558599.8000
19,2023-06-30,sz.000156,8.9200,9.0600,8.3600,8.7000,56172252,484113508.2500
20,2023-07-07,sz.000156,8.7000,8.8000,8.4100,8.5800,42098760,364125932.5300
21,2023-07-14,sz.000156,8.6400,9.0300,8.5900,8.9100,49301253,432765382.4300
22,2023-07-21,sz.000156,8.9000,9.0800,8.8200,8.9300,29922590,267959250.1300
23,2023-07-28,sz.000156,8.9300,9.0400,8.5800,8.7400,37246963,328707043.8200
24,2023-08-04,sz.000156,8.7500,8.9900,8.7100,8.9300,38561412,340459228.9300
25,2023-08-11,sz.000156,8.9900,9.2100,8.7500,8.7600,40143346,362507009.8200
26,2023-08-18,sz.000156,8.7000,8.8600,8.4500,8.4800,27715008,239420623.1800
27,2023-08-25,sz.000156,8.4900,8.8100,8.2300,8.2700,37273837,318057944.7900
28,2023-09-01,sz.000156,8.6000,8.9100,8.4400,8.8200,56496263,490403636.9500
29,2023-09-08,sz.000156,8.8100,8.8400,7.7700,7.7700,65848551,543086004.6200
30,2023-09-15,sz.000156,7.8100,8.1400,7.7900,7.9400,42248274,335982858.2800
31,2023-09-22,sz.000156,7.9000,8.1000,7.7900,8.0400,38699508,308100114.5300
32,2023-09-28,sz.000156,8.0900,8.1100,7.6600,7.6800,35821806,280505127.9400
33,2023-10-13,sz.000156,7.6800,7.6900,7.3600,7.3800,44084742,329863147.8300
34,2023-10-20,sz.000156,7.3800,7.3900,7.0800,7.0900,26539991,192320105.0700
35,2023-10-27,sz.000156,7.0800,7.3200,6.9100,7.2700,31756324,226546256.5000
36,2023-11-03,sz.000156,7.2600,7.4700,7.2100,7.3900,40133554,294520128.5600
37,2023-11-10,sz.000156,7.4400,7.9800,7.4200,7.5900,52245711,401329646.9700
38,2023-11-17,sz.000156,7.6000,7.8400,7.5600,7.7800,46232698,355399049.8200
39,2023-11-24,sz.000156,7.7400,8.4300,7.7100,7.9500,97019392,780380930.4300
40,2023-12-01,sz.000156,7.9200,8.0400,7.6700,8.0100,53624305,418938822.9400
41,2023-12-08,sz.000156,8.0200,8.2000,7.6400,8.0200,61486402,491075569.6400
42,2023-12-15,sz.000156,8.0100,8.5000,7.9400,8.4100,75968599,630545250.8400
43,2023-12-22,sz.000156,8.3700,8.4400,7.6200,7.7000,54620012,442842298.6700
44,2023-12-29,sz.000156,7.6700,7.8100,7.3000,7.3700,47175436,352355203.1600
45,2024-01-05,sz.000156,7.4100,7.6800,7.3800,7.4900,45728197,344591553.8800
46,2024-01-12,sz.000156,7.4200,7.5000,7.1500,7.2500,29824717,218599646.2500
47,2024-01-19,sz.000156,7.1800,7.3800,6.7000,6.9600,38088236,268558913.4300
48,2024-01-26,sz.000156,6.9300,7.3100,6.4100,7.2200,53503799,363944792.2300
49,2024-02-02,sz.000156,7.2100,7.2600,6.2200,6.4300,51462209,348792249.2700
50,2024-02-08,sz.000156,6.4200,7.5100,5.6700,7.1400,90147930,589211788.1300
51,2024-02-23,sz.000156,7.3600,7.3600,6.9200,7.2600,55892352,397349878.4700
52,2024-03-01,sz.000156,7.2500,7.5400,7.0800,7.4500,54849291,401636619.9300
53,2024-03-08,sz.000156,7.4400,7.5700,7.1200,7.2500,43740258,322180778.5800
54,2024-03-15,sz.000156,7.2300,7.5400,7.2100,7.3300,47059876,344612336.2400
55,2024-03-22,sz.000156,7.3200,8.4900,7.2700,8.4900,104382400,820236140.6700
56,2024-03-29,sz.000156,9.3400,9.3400,7.8000,8.4300,421577467,3630111907.7900
57,2024-04-03,sz.000156,8.4600,8.4700,7.6200,7.7100,122358929,985399865.4800
