,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000536,2.2800,2.4800,2.1400,2.3300,766231439,1754343916.9300
1,2023-02-24,sz.000536,2.2800,2.3100,2.1800,2.2100,325911368,730164082.5100
2,2023-03-03,sz.000536,2.2100,2.4100,2.1500,2.2500,259814061,584928833.4400
3,2023-03-10,sz.000536,2.2500,2.3200,2.1600,2.1700,156713851,346799746.1400
4,2023-03-17,sz.000536,2.1600,2.2700,2.1000,2.1400,158960485,343989341.6000
5,2023-03-24,sz.000536,2.1400,2.2300,2.1000,2.2300,148763746,322715807.6000
6,2023-03-31,sz.000536,2.2400,2.2500,2.1300,2.1900,112034698,244131285.0700
7,2023-04-07,sz.000536,2.1900,2.2600,2.1600,2.1900,126672282,278958625.4800
8,2023-04-14,sz.000536,2.1900,2.2300,2.1100,2.1300,142686441,309047619.0300
9,2023-04-21,sz.000536,2.1300,2.1300,1.9300,1.9400,119941899,243865344.2800
10,2023-04-28,sz.000536,1.9300,1.9600,1.8800,1.9500,94569578,181608899.9800
11,2023-05-05,sz.000536,1.9500,1.9900,1.9300,1.9600,31503783,61758171.2900
12,2023-05-12,sz.000536,1.9600,1.9700,1.9100,1.9200,75955809,147086506.2500
13,2023-05-19,sz.000536,1.9200,1.9500,1.8800,1.9500,59516731,114078030.9500
14,2023-05-26,sz.000536,1.9500,1.9500,1.8000,1.8700,71950261,135758642.2600
15,2023-06-02,sz.000536,1.8800,1.9000,1.8500,1.8600,54820467,102414407.2600
16,2023-06-09,sz.000536,1.8600,1.8700,1.7700,1.7900,71983031,130919739.5400
17,2023-06-16,sz.000536,1.7900,1.8500,1.7700,1.8400,68450107,124166033.8800
18,2023-06-21,sz.000536,1.8300,1.8400,1.7700,1.7700,26778207,48201310.4000
19,2023-06-30,sz.000536,1.7800,1.8100,1.7300,1.8100,66395783,117396271.7600
20,2023-07-07,sz.000536,1.8000,1.9100,1.8000,1.8400,83178712,153710905.2800
21,2023-07-14,sz.000536,1.8400,1.9300,1.8100,1.9000,83644140,155663580.0900
22,2023-07-21,sz.000536,1.8700,2.0000,1.8400,1.9300,142781585,272794646.8200
23,2023-07-28,sz.000536,1.9000,1.9700,1.8700,1.9400,152708124,293210323.3900
24,2023-08-04,sz.000536,1.9500,2.0500,1.9400,1.9700,184363850,368034526.8500
25,2023-08-11,sz.000536,1.9700,1.9800,1.8800,1.8800,77450419,150190340.1100
26,2023-08-18,sz.000536,1.8700,1.9100,1.8500,1.8500,75898734,142488696.5300
27,2023-08-25,sz.000536,1.8500,1.8700,1.7700,1.7800,73041160,132615384.6000
28,2023-09-01,sz.000536,1.8600,2.0800,1.8100,1.9800,358874871,710146686.7100
29,2023-09-08,sz.000536,1.9700,3.1900,1.9300,3.1900,1615605947,4354741770.2700
30,2023-09-15,sz.000536,3.4000,3.8700,2.7000,3.5200,2702259245,8999380902.2000
31,2023-09-22,sz.000536,3.3600,3.9400,3.2500,3.6100,2437723648,8783262964.6300
32,2023-09-28,sz.000536,3.5000,4.7900,3.3200,4.7900,1952104060,7869973005.0000
33,2023-10-13,sz.000536,5.0000,5.8000,4.6100,4.8900,2328510243,11844768518.2200
34,2023-10-20,sz.000536,4.8100,4.9000,3.8500,3.8900,1583266715,6973548274.9100
35,2023-10-27,sz.000536,3.8400,4.2700,3.7500,3.9000,1273626987,5064937045.7600
36,2023-11-03,sz.000536,3.8600,3.9200,3.6100,3.6900,675514551,2537578948.0600
37,2023-11-10,sz.000536,3.7400,4.0900,3.6500,3.7200,1078520488,4132655205.5800
38,2023-11-17,sz.000536,3.7100,4.4000,3.7100,4.0100,1353451750,5529398953.7900
39,2023-11-24,sz.000536,4.0100,4.7400,3.8600,4.5000,1547801789,6555481373.9700
40,2023-12-01,sz.000536,4.3000,4.3200,3.5400,3.7400,1069361130,4251569563.3000
41,2023-12-08,sz.000536,3.7200,3.7800,3.4600,3.5100,467196665,1669433144.8600
42,2023-12-15,sz.000536,3.5000,3.6600,3.4300,3.4700,491341456,1739134190.3900
43,2023-12-22,sz.000536,3.4600,3.6500,3.2800,3.5100,465188664,1607132019.2100
44,2023-12-29,sz.000536,3.4400,4.1800,3.3700,3.9100,1328905862,5106567417.2400
45,2024-01-05,sz.000536,3.8600,3.9000,3.3800,3.4600,633334119,2339553302.6000
46,2024-01-12,sz.000536,3.4100,3.4400,3.0400,3.1000,447578736,1440951422.8400
47,2024-01-19,sz.000536,3.0800,3.1300,2.9200,2.9900,279455313,846787265.5500
48,2024-01-26,sz.000536,2.9700,3.1000,2.7900,2.9800,401301852,1177410813.8500
49,2024-02-02,sz.000536,2.9800,3.0000,2.2900,2.4200,346107020,913606121.9500
50,2024-02-08,sz.000536,2.4200,2.4200,2.0200,2.3000,336926009,748454844.5800
51,2024-02-23,sz.000536,2.3400,3.0800,2.3200,3.0200,701093019,1927629932.9600
52,2024-03-01,sz.000536,2.9900,3.2000,2.7700,3.0400,831120324,2501779357.4800
53,2024-03-08,sz.000536,3.0600,3.3700,2.9600,3.0100,713107875,2235848435.1400
54,2024-03-15,sz.000536,2.9900,3.1300,2.9600,3.0600,388589863,1186037408.3700
55,2024-03-22,sz.000536,3.0900,3.1800,3.0000,3.0200,412452232,1278039081.3200
56,2024-03-29,sz.000536,3.0100,3.0400,2.6600,2.8500,351363156,995632001.4900
57,2024-04-03,sz.000536,2.8500,3.1400,2.8500,2.8700,470261304,1410521555.8100
