,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000603,13.7000,14.3900,13.1100,13.2900,37781189,518210753.3300
1,2023-02-24,sz.000603,13.2500,14.1500,13.2000,13.6400,39495069,543916141.8400
2,2023-03-03,sz.000603,13.5700,13.8300,13.4000,13.5900,21885802,298185793.5800
3,2023-03-10,sz.000603,13.7100,14.8900,13.5600,13.9100,66029074,937174053.2400
4,2023-03-17,sz.000603,14.3100,16.3500,14.1500,16.0200,133286806,2105865624.9100
5,2023-03-24,sz.000603,16.5100,17.3600,16.0100,16.8100,87973965,1475039259.1900
6,2023-03-31,sz.000603,16.7200,17.1200,15.5500,17.0000,70409399,1142514784.0900
7,2023-04-07,sz.000603,16.9100,18.6500,16.3500,17.9800,56909560,1004695636.1200
8,2023-04-14,sz.000603,17.8100,19.6400,17.2800,18.9500,64573741,1190800893.3600
9,2023-04-21,sz.000603,18.4000,19.5000,18.0600,18.7100,43180552,811442213.2000
10,2023-04-28,sz.000603,18.6800,19.0000,17.7000,18.7500,38251892,701355896.7100
11,2023-05-05,sz.000603,18.7000,19.3900,16.8800,17.1000,40897620,714566284.3900
12,2023-05-12,sz.000603,16.5500,17.5200,13.6300,13.7800,117846414,1799514661.3700
13,2023-05-19,sz.000603,13.7900,13.9500,13.0900,13.1900,43436162,584503157.4500
14,2023-05-26,sz.000603,13.2900,13.3200,12.8400,13.1900,31573169,413579917.1900
15,2023-06-02,sz.000603,13.1800,14.4200,12.7800,13.8800,75808885,1027691142.9100
16,2023-06-09,sz.000603,13.6000,14.3200,13.2400,13.7200,51107913,693269520.2400
17,2023-06-16,sz.000603,13.5700,13.8100,12.5400,13.1100,48736148,642771274.5600
18,2023-06-21,sz.000603,13.0900,13.1300,11.9800,11.9800,23804367,297269188.6200
19,2023-06-30,sz.000603,11.9800,12.3900,11.7500,12.0900,32852599,396244875.6800
20,2023-07-07,sz.000603,12.2000,12.8800,11.6800,11.8300,70938002,863014714.3600
21,2023-07-14,sz.000603,11.8800,13.7800,11.7900,13.7800,153440597,1971657826.7400
22,2023-07-21,sz.000603,13.4300,14.5000,13.3100,13.5300,155160868,2153821794.3500
23,2023-07-28,sz.000603,13.3700,14.0000,12.5200,12.9600,82674093,1098850416.0600
24,2023-08-04,sz.000603,12.9000,14.3000,12.8300,13.5100,106499292,1432765079.3800
25,2023-08-11,sz.000603,13.5400,14.0400,13.2600,13.5400,59368289,810001890.1700
26,2023-08-18,sz.000603,13.4600,14.2300,12.8500,13.1900,60355540,809515980.8500
27,2023-08-25,sz.000603,13.1800,15.2800,13.1800,15.0600,106334097,1537530327.3600
28,2023-09-01,sz.000603,15.6000,15.7700,14.1900,14.3400,78002449,1148022691.9800
29,2023-09-08,sz.000603,14.4000,14.7600,13.9100,14.2100,43274803,621766298.7000
30,2023-09-15,sz.000603,14.2200,15.6800,13.7200,15.4600,107753905,1614352217.5900
31,2023-09-22,sz.000603,15.3300,15.4900,14.3200,14.8300,70667468,1057618033.3300
32,2023-09-28,sz.000603,14.6800,15.2000,14.3500,14.4100,35457255,524262695.0600
33,2023-10-13,sz.000603,14.2500,14.7500,13.8600,14.5400,39261730,563099779.2500
34,2023-10-20,sz.000603,14.8900,14.9800,12.3800,12.5400,65954731,877625313.5700
35,2023-10-27,sz.000603,12.4500,12.7900,12.0500,12.5500,31174053,385497287.9500
36,2023-11-03,sz.000603,12.5700,12.9400,12.3800,12.5500,26567044,335479079.3600
37,2023-11-10,sz.000603,12.6800,12.7600,11.6700,11.6800,66416288,799245206.0800
38,2023-11-17,sz.000603,11.6500,12.8800,11.5300,12.4100,64848563,794450808.0400
39,2023-11-24,sz.000603,12.4100,12.4600,11.9700,12.0300,33827848,414726527.8900
40,2023-12-01,sz.000603,12.5800,13.1300,12.2900,12.8400,74371001,946516456.1400
41,2023-12-08,sz.000603,13.1500,13.4800,12.5800,12.7100,39570340,514664118.9000
42,2023-12-15,sz.000603,12.4400,12.8000,12.1800,12.4400,26999979,336584777.2600
43,2023-12-22,sz.000603,12.3100,12.3500,11.0200,11.0200,43500568,503702504.8100
44,2023-12-29,sz.000603,10.8400,11.0900,10.5200,11.0500,58260569,630743554.4900
45,2024-01-05,sz.000603,11.0600,11.1500,10.5900,10.6500,40828610,446898697.2300
46,2024-01-12,sz.000603,10.7400,10.7400,10.1600,10.3500,35164022,364402351.0600
47,2024-01-19,sz.000603,10.4000,10.4500,9.2900,9.6500,41716002,411857562.4300
48,2024-01-26,sz.000603,9.6000,9.7600,8.9600,9.6100,44521662,416720722.1700
49,2024-02-02,sz.000603,9.6500,9.6700,7.8500,8.1000,43211901,378200088.5300
50,2024-02-08,sz.000603,8.0200,8.8400,7.1100,8.8000,66963661,531817482.5600
51,2024-02-23,sz.000603,8.9300,9.2700,8.5700,9.1900,49531748,442400452.3200
52,2024-03-01,sz.000603,9.1600,9.6300,8.7600,9.3400,45921734,424234910.9900
53,2024-03-08,sz.000603,9.5000,10.1000,9.2700,10.0100,88793136,863511586.7200
54,2024-03-15,sz.000603,10.0400,11.2800,9.8300,11.1500,117729699,1238073303.7200
55,2024-03-22,sz.000603,11.1500,12.3000,11.0300,11.2100,104044163,1193183338.8300
56,2024-03-29,sz.000603,11.0600,12.9000,11.0600,12.9000,126530999,1520879249.1000
57,2024-04-03,sz.000603,13.2600,14.4800,12.8100,14.4600,107965751,1487200464.5300
