,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000609,6.0000,6.1500,5.7100,5.7500,41116472,245113499.8800
1,2023-02-24,sz.000609,5.6300,5.8400,5.5900,5.6700,30589106,173856557.0800
2,2023-03-03,sz.000609,5.7100,5.7200,5.5800,5.6400,18914975,106762338.0900
3,2023-03-10,sz.000609,5.6600,5.6600,5.4000,5.4300,16876903,93020767.4400
4,2023-03-17,sz.000609,5.4500,5.4500,5.1400,5.2100,21395401,112757511.2500
5,2023-03-24,sz.000609,5.1800,5.3200,5.0700,5.3000,18070344,94260441.0900
6,2023-03-31,sz.000609,5.3000,5.3400,4.9500,5.0200,14653555,74656962.8500
7,2023-04-07,sz.000609,5.0600,5.0900,4.7900,5.0500,16498346,81874232.8500
8,2023-04-14,sz.000609,5.0500,5.1000,4.8400,4.9600,19245060,95461719.7900
9,2023-04-21,sz.000609,4.9800,4.9900,4.4100,4.4400,26110414,120695211.9500
10,2023-04-28,sz.000609,4.4000,4.5600,4.2900,4.5200,22197552,98237462.6000
11,2023-05-05,sz.000609,4.6300,4.9900,4.6300,4.9800,20625302,100056494.6600
12,2023-05-12,sz.000609,4.9600,4.9800,4.7300,4.8400,19697600,95478250.0000
13,2023-05-19,sz.000609,4.9300,4.9500,4.6900,4.8100,16020195,76984009.7100
14,2023-05-26,sz.000609,4.8300,4.9200,4.6100,4.8000,14816300,70812089.0000
15,2023-06-02,sz.000609,4.7900,4.8100,4.5400,4.7300,17825267,82927112.3000
16,2023-06-09,sz.000609,4.7300,4.9500,4.6100,4.6700,24698099,117947818.2700
17,2023-06-16,sz.000609,4.6800,4.8000,4.5300,4.5500,18916368,87642137.8900
18,2023-06-21,sz.000609,4.5500,4.5700,4.1300,4.1700,20861555,89007236.0300
19,2023-06-30,sz.000609,4.1700,5.2100,4.0900,4.8100,96345990,468372240.9600
20,2023-07-07,sz.000609,4.5800,4.9200,4.5500,4.8400,79643157,376688285.0500
21,2023-07-14,sz.000609,4.8200,5.1300,4.5500,5.1300,59048848,285449607.3100
22,2023-07-21,sz.000609,5.0000,5.3900,4.9000,5.3300,118234181,612114956.3300
23,2023-07-28,sz.000609,5.3000,5.9000,5.1000,5.9000,192056995,1064810483.9000
24,2023-08-04,sz.000609,6.1900,6.3800,5.5200,6.3800,265668480,1569686184.6100
25,2023-08-11,sz.000609,6.3000,6.9200,5.2000,5.4200,274992011,1619246017.3700
26,2023-08-18,sz.000609,5.2500,6.1400,5.2200,5.7300,154162451,880156639.1700
27,2023-08-25,sz.000609,5.7300,5.9400,5.2900,5.9400,93209810,520944667.9200
28,2023-09-01,sz.000609,6.5300,7.7500,6.2100,6.8300,358217405,2467922643.4100
29,2023-09-08,sz.000609,6.9000,7.5100,5.9000,6.0600,352465762,2341035761.1700
30,2023-09-15,sz.000609,5.9300,5.9800,5.4700,5.4900,154642381,878409068.2200
31,2023-09-22,sz.000609,5.4800,6.1300,5.3200,5.9200,166997237,965691982.0900
32,2023-09-28,sz.000609,5.8000,5.8100,5.2300,5.4500,92152339,505949506.9700
33,2023-10-13,sz.000609,5.4500,5.9600,5.2100,5.7600,126315639,724913327.0300
34,2023-10-20,sz.000609,5.7500,5.9000,5.4000,5.7000,78779928,446864763.5000
35,2023-10-27,sz.000609,5.5000,6.2800,5.3100,6.0500,140736068,835957246.1200
36,2023-11-03,sz.000609,6.1100,6.8100,5.9500,6.3900,197198692,1254030294.5600
37,2023-11-10,sz.000609,6.3400,6.6000,6.1500,6.2800,145666623,921567008.9900
38,2023-11-17,sz.000609,6.2800,6.5700,6.1700,6.2900,89510727,566708906.5400
39,2023-11-24,sz.000609,6.3200,7.5000,6.2800,7.0300,273617956,1901521867.7500
40,2023-12-01,sz.000609,6.8700,8.0600,6.5400,7.2300,355805312,2619168177.3700
41,2023-12-08,sz.000609,7.2000,8.2700,6.9300,7.2900,292731577,2198372134.7900
42,2023-12-15,sz.000609,7.2900,9.5800,7.2100,8.2500,410356649,3467611086.9200
43,2023-12-22,sz.000609,8.1100,8.9800,7.7900,7.7900,261956458,2188150616.3100
44,2023-12-29,sz.000609,7.5300,7.6300,6.5700,6.6200,164265878,1140734539.0500
45,2024-01-05,sz.000609,6.6400,6.7200,6.1900,6.3100,90842945,578974765.2400
46,2024-01-12,sz.000609,6.3800,6.4600,6.0400,6.1900,81501521,506444727.4700
47,2024-01-19,sz.000609,6.1500,6.3200,5.7400,5.8000,68651701,413602269.8400
48,2024-01-26,sz.000609,5.7500,6.3500,5.3400,6.1900,95825000,560146125.9300
49,2024-02-02,sz.000609,6.3100,6.3400,4.7000,4.8800,73076316,400958457.0600
50,2024-02-08,sz.000609,4.8500,4.8700,3.2400,3.7300,89627797,335869749.6700
51,2024-02-23,sz.000609,3.7500,4.7800,3.4500,4.7200,155597107,673031839.5000
52,2024-03-01,sz.000609,4.7300,5.4300,4.5300,4.7500,111628927,543113960.0900
53,2024-03-08,sz.000609,4.7200,4.7900,4.4700,4.5600,50874834,235863761.7000
54,2024-03-15,sz.000609,4.5500,5.0800,4.5400,4.9500,74496793,362020241.8600
55,2024-03-22,sz.000609,4.9500,5.5000,4.9100,5.3500,70432500,366696929.3600
56,2024-03-29,sz.000609,5.3400,5.5600,5.0200,5.0500,69297474,361515116.3100
57,2024-04-03,sz.000609,5.0900,5.4000,5.0600,5.1600,37539981,196711230.6500
