,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000661,200.0000,209.5800,195.4000,197.2800,23315680,4725450484.8400
1,2023-02-24,sz.000661,197.0100,206.8800,193.7900,195.1200,19387926,3884132186.4900
2,2023-03-03,sz.000661,194.2500,199.3000,191.6000,193.3100,13946967,2718219327.5200
3,2023-03-10,sz.000661,193.9900,196.2100,187.1600,191.7500,17030908,3267642416.6600
4,2023-03-17,sz.000661,191.3000,194.0000,166.3200,166.3300,37620007,6675680507.8900
5,2023-03-24,sz.000661,163.0000,171.9800,157.1500,167.3700,45775313,7550576355.3600
6,2023-03-31,sz.000661,166.6000,170.3500,162.8100,163.3000,21300743,3525437975.3400
7,2023-04-07,sz.000661,163.3000,171.0000,160.7900,169.7500,24161917,3980444950.5800
8,2023-04-14,sz.000661,170.1000,172.9700,162.5800,166.8000,25078773,4198134968.8900
9,2023-04-21,sz.000661,165.9700,178.2800,159.0400,163.5300,45590964,7592037187.5100
10,2023-04-28,sz.000661,164.8000,166.9800,158.4900,162.9100,21673811,3509030172.2900
11,2023-05-05,sz.000661,162.8900,167.3300,162.0400,164.7800,7896890,1303791844.1000
12,2023-05-12,sz.000661,164.7800,165.3900,157.8300,163.0900,15696764,2540660998.3600
13,2023-05-19,sz.000661,162.8000,175.8000,162.1600,170.6000,24283937,4161300202.0600
14,2023-05-26,sz.000661,171.3300,173.6800,165.5000,165.8800,11527745,1950321375.6700
15,2023-06-02,sz.000661,165.8800,168.3500,157.7000,160.8000,16573716,2659182200.3100
16,2023-06-09,sz.000661,160.9900,161.5000,136.3800,137.0400,37472962,5437291749.1200
17,2023-06-16,sz.000661,136.7700,146.3500,133.8500,143.3200,33738381,4687769816.2400
18,2023-06-21,sz.000661,143.1000,144.1000,138.0600,138.1500,10996189,1544591482.1900
19,2023-06-30,sz.000661,136.0000,138.9800,134.5300,136.3000,15379940,2100041794.0700
20,2023-07-07,sz.000661,140.0000,146.2500,140.0000,141.7100,20329774,2914504029.1000
21,2023-07-14,sz.000661,143.0000,148.3500,142.0000,144.8000,16962288,2464839978.5000
22,2023-07-21,sz.000661,144.3500,145.9800,140.6000,143.7200,10169225,1456517852.7900
23,2023-07-28,sz.000661,143.0100,156.5300,142.2000,154.4900,21928081,3288643567.8900
24,2023-08-04,sz.000661,154.0100,155.3800,142.8200,144.4500,28280929,4149186754.6600
25,2023-08-11,sz.000661,143.8800,143.8800,136.7200,137.0800,23027257,3195487154.4300
26,2023-08-18,sz.000661,135.9000,141.5300,135.3600,137.8200,17038988,2356423009.1800
27,2023-08-25,sz.000661,137.7900,141.0800,124.0000,137.0000,27755045,3736120073.3900
28,2023-09-01,sz.000661,144.0000,145.2500,136.4100,137.8300,18239315,2533701933.0900
29,2023-09-08,sz.000661,138.8000,140.9400,135.6900,135.9600,12830664,1773517021.0600
30,2023-09-15,sz.000661,136.1000,137.9500,133.6000,135.0000,15285522,2078525265.1800
31,2023-09-22,sz.000661,135.1300,136.6300,132.5200,135.9800,12773980,1725313344.8000
32,2023-09-28,sz.000661,135.4900,139.9400,135.1800,139.0000,14105653,1945536609.7900
33,2023-10-13,sz.000661,139.0000,144.4400,136.8000,141.5300,20457136,2877293018.5500
34,2023-10-20,sz.000661,141.6000,145.2000,129.0100,129.6900,19792089,2715331708.4200
35,2023-10-27,sz.000661,129.0000,152.5400,126.8800,150.6400,36513269,5162186765.0400
36,2023-11-03,sz.000661,153.0000,158.1600,150.6000,151.1500,34638405,5338686361.6200
37,2023-11-10,sz.000661,152.0000,162.8800,151.0000,160.4300,31897200,4982645142.8600
38,2023-11-17,sz.000661,161.0000,164.5000,156.3300,158.1700,19672572,3119304874.4200
39,2023-11-24,sz.000661,159.8000,165.7300,154.9800,157.8500,19968560,3188660703.7700
40,2023-12-01,sz.000661,155.4900,165.0200,151.1900,158.8900,24541669,3915564357.6400
41,2023-12-08,sz.000661,158.7500,158.8000,149.0100,151.3600,23132978,3519443135.9000
42,2023-12-15,sz.000661,150.8700,150.8700,140.8300,141.5500,20371700,2979118414.6600
43,2023-12-22,sz.000661,140.5500,144.2900,137.7800,140.8000,13658075,1922570354.8200
44,2023-12-29,sz.000661,140.0000,148.0000,139.7100,145.8000,16020526,2308368443.6000
45,2024-01-05,sz.000661,145.8000,147.2100,139.4500,139.8200,14584693,2095275670.3000
46,2024-01-12,sz.000661,138.4500,141.6000,122.0000,125.0000,37375441,4811758038.5500
47,2024-01-19,sz.000661,125.1000,125.8800,121.1000,123.8200,38612789,4768748966.6500
48,2024-01-26,sz.000661,123.6300,124.9700,117.6600,122.0300,28558411,3480744961.2400
49,2024-02-02,sz.000661,122.8300,122.8300,108.9400,111.3000,23065098,2674369865.4900
50,2024-02-08,sz.000661,110.0000,121.3500,106.3300,120.1300,27885703,3234526296.3400
51,2024-02-23,sz.000661,121.7000,125.7500,119.3000,124.9200,22107919,2727915625.9900
52,2024-03-01,sz.000661,124.9500,132.3200,123.8200,129.1000,21977229,2802255986.0700
53,2024-03-08,sz.000661,129.1000,132.8800,125.0000,125.6000,20552620,2648426494.2100
54,2024-03-15,sz.000661,125.6500,131.5500,125.1000,128.3100,23595987,3033967039.4800
55,2024-03-22,sz.000661,128.5000,132.9500,125.6600,125.9500,32241852,4168115837.7400
56,2024-03-29,sz.000661,125.4900,126.6500,119.1000,120.1900,18819147,2299664402.8300
57,2024-04-03,sz.000661,120.4300,124.4000,120.2200,122.9000,9833122,1208189930.6200
