,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000700,5.4900,5.5900,5.2900,5.3900,91195133,498604156.3800
1,2023-02-24,sz.000700,5.3900,5.6500,5.3900,5.5100,71957905,398522359.8000
2,2023-03-03,sz.000700,5.5100,6.0000,5.4500,5.5700,134157080,763806086.4500
3,2023-03-10,sz.000700,5.5900,5.6100,5.2600,5.2600,70449218,382198559.0800
4,2023-03-17,sz.000700,5.2100,5.3600,5.1000,5.3500,49426378,260155790.5000
5,2023-03-24,sz.000700,5.3300,5.5900,5.2700,5.5200,57926512,315529356.1500
6,2023-03-31,sz.000700,5.4500,5.6700,5.4000,5.5800,52304861,290837961.4100
7,2023-04-07,sz.000700,5.5900,5.6700,5.4300,5.4900,39350045,218348114.6800
8,2023-04-14,sz.000700,5.4900,5.4900,5.2500,5.3100,36662217,195037984.1600
9,2023-04-21,sz.000700,5.3100,5.4200,5.1300,5.1800,34100593,180642517.5600
10,2023-04-28,sz.000700,5.1400,5.2200,4.9500,5.0400,42008251,212139285.2600
11,2023-05-05,sz.000700,5.0400,5.1300,4.9000,4.9300,19875420,99797426.0600
12,2023-05-12,sz.000700,4.9500,5.0400,4.8400,4.9900,31902569,158188160.6600
13,2023-05-19,sz.000700,4.9900,5.0800,4.9000,5.0000,24290678,120908944.9000
14,2023-05-26,sz.000700,4.9800,5.0600,4.8400,5.0200,24676519,122482590.4700
15,2023-06-02,sz.000700,5.0500,5.0500,4.9100,4.9600,23534763,116851581.8000
16,2023-06-09,sz.000700,4.9900,5.0100,4.8200,4.9000,28499640,139838562.3600
17,2023-06-16,sz.000700,4.9100,5.5800,4.8800,5.3500,121390944,646020535.0100
18,2023-06-21,sz.000700,5.2800,5.6000,5.2800,5.4100,50394811,275309328.7300
19,2023-06-30,sz.000700,5.4800,5.5900,5.3800,5.5800,64180433,352432128.3700
20,2023-07-07,sz.000700,5.6100,6.1100,5.5400,5.8200,132380491,772243217.9400
21,2023-07-14,sz.000700,5.8100,6.0400,5.6900,5.7900,85833272,500463638.4700
22,2023-07-21,sz.000700,5.7800,5.9800,5.6000,5.6500,55960414,323671571.2000
23,2023-07-28,sz.000700,5.6400,6.5900,5.6200,6.5900,193664450,1197087162.4100
24,2023-08-04,sz.000700,6.8000,7.4800,6.6600,7.1100,405421145,2882154129.5900
25,2023-08-11,sz.000700,7.0200,8.1400,6.9600,7.1200,277547563,2104230381.3500
26,2023-08-18,sz.000700,7.0300,7.1600,6.5300,6.6500,123235588,844734595.5600
27,2023-08-25,sz.000700,6.6400,6.9000,6.4600,6.5300,101606946,672606889.0300
28,2023-09-01,sz.000700,6.8400,7.4400,6.3500,7.3500,165799512,1164677070.8700
29,2023-09-08,sz.000700,7.2900,7.5000,6.9800,7.2600,96890696,700054871.8900
30,2023-09-15,sz.000700,7.2500,7.5500,6.9800,7.0200,82286803,598656370.6900
31,2023-09-22,sz.000700,6.9800,7.3200,6.8000,6.9200,53342068,375972353.1100
32,2023-09-28,sz.000700,6.9400,7.0600,6.6900,6.9100,47689265,327730718.7300
33,2023-10-13,sz.000700,6.9400,8.4900,6.7400,8.4900,205723501,1561926804.1700
34,2023-10-20,sz.000700,8.8600,9.3400,7.5500,7.6200,427092937,3611529127.5600
35,2023-10-27,sz.000700,7.6000,8.6300,7.2700,8.4100,252644021,2016120376.2200
36,2023-11-03,sz.000700,8.4800,8.5900,7.7800,8.0500,183741132,1494384116.3000
37,2023-11-10,sz.000700,8.0000,8.8800,7.9400,8.1800,233614832,1958933052.0100
38,2023-11-17,sz.000700,8.2400,9.3000,8.0800,9.0500,299450045,2594199246.0300
39,2023-11-24,sz.000700,9.0500,9.2000,8.4500,8.7400,218848397,1933013299.6600
40,2023-12-01,sz.000700,8.7400,8.8400,7.7300,7.7900,163095143,1347491637.0100
41,2023-12-08,sz.000700,7.7500,7.9000,7.1000,7.1300,131422149,980860165.4200
42,2023-12-15,sz.000700,7.1100,7.5300,7.0500,7.2000,109532197,804369266.2800
43,2023-12-22,sz.000700,7.1900,7.3700,6.7700,6.8900,85890483,599944493.1300
44,2023-12-29,sz.000700,6.9600,7.1800,6.7100,7.0000,133376630,926447225.5900
45,2024-01-05,sz.000700,7.0000,7.0600,6.5700,6.6000,68229557,462837356.2200
46,2024-01-12,sz.000700,6.6100,6.6500,6.3400,6.3800,76463886,494809383.1000
47,2024-01-19,sz.000700,6.3600,6.4300,5.7700,5.8800,96010409,584063323.3200
48,2024-01-26,sz.000700,5.8900,5.9600,5.4200,5.8000,93867487,535234971.1500
49,2024-02-02,sz.000700,5.8100,5.8500,4.7000,4.8800,80818454,428389148.2400
50,2024-02-08,sz.000700,4.8600,5.0500,4.1000,5.0500,138258469,635606420.5700
51,2024-02-23,sz.000700,5.1900,5.9100,5.1900,5.8800,182132643,1007536798.0200
52,2024-03-01,sz.000700,6.0300,6.2700,5.6600,6.1500,173709134,1052079212.6400
53,2024-03-08,sz.000700,6.1200,6.1400,5.7900,5.8700,94957538,565444741.4400
54,2024-03-15,sz.000700,5.9000,6.9900,5.8900,6.9900,240307603,1570851706.2900
55,2024-03-22,sz.000700,7.1000,7.1600,6.5800,6.7100,176912587,1211109337.6900
56,2024-03-29,sz.000700,6.6500,7.7000,6.6500,7.1500,392029007,2833041362.4600
57,2024-04-03,sz.000700,7.1800,7.4600,6.5700,6.6800,178006694,1252087871.9200
