,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000712,14.1500,15.6400,14.1100,14.4300,138295188,2072564771.7600
1,2023-02-24,sz.000712,14.6000,15.4400,14.4100,14.8500,56980376,843629816.7000
2,2023-03-03,sz.000712,14.6900,14.8400,14.2800,14.4500,44260172,641618787.0800
3,2023-03-10,sz.000712,14.4500,14.4500,13.8000,13.8700,25435083,356966418.4500
4,2023-03-17,sz.000712,13.8500,14.3100,13.7600,13.9500,27888397,391228062.5700
5,2023-03-24,sz.000712,13.8500,14.6200,13.8000,14.2700,33727967,479618130.9300
6,2023-03-31,sz.000712,14.2500,14.4000,13.6500,13.8200,31197695,436703437.7300
7,2023-04-07,sz.000712,13.8000,14.2800,13.7300,14.2100,25702108,360601232.3000
8,2023-04-14,sz.000712,14.3000,14.3700,13.9300,13.9400,22518621,317241308.9300
9,2023-04-21,sz.000712,13.9300,14.2700,13.2000,13.3300,26312528,364203828.3000
10,2023-04-28,sz.000712,13.2700,13.6200,12.9100,13.5800,18607926,246948161.1100
11,2023-05-05,sz.000712,13.5300,13.8600,13.4800,13.6700,8026188,110073748.3200
12,2023-05-12,sz.000712,13.6500,14.2000,13.4400,13.4600,32573769,450141929.4500
13,2023-05-19,sz.000712,13.4600,13.6300,13.1600,13.2000,13846244,185240644.5900
14,2023-05-26,sz.000712,13.1300,13.4400,12.8700,13.1600,21281268,279652618.8400
15,2023-06-02,sz.000712,13.1800,13.2000,12.7600,12.9700,12972075,167833871.5100
16,2023-06-09,sz.000712,12.9700,12.9700,12.4700,12.5600,13060550,165238687.5700
17,2023-06-16,sz.000712,12.5600,12.6800,12.3300,12.6200,15468723,193420131.3600
18,2023-06-21,sz.000712,12.5800,12.6100,12.2100,12.2700,8813849,109271814.9300
19,2023-06-30,sz.000712,12.1500,12.6600,12.0100,12.4800,17874043,220800671.7200
20,2023-07-07,sz.000712,12.4300,13.0700,12.2000,12.7600,23905373,300698242.9000
21,2023-07-14,sz.000712,12.6300,12.6800,12.3300,12.4600,20508264,255916425.1900
22,2023-07-21,sz.000712,12.2800,12.5300,12.1400,12.5200,13918434,171588961.5900
23,2023-07-28,sz.000712,12.4700,13.6300,12.4200,13.4700,40826862,530128884.9400
24,2023-08-04,sz.000712,13.4500,15.6000,13.3100,14.4800,157539398,2259178071.8900
25,2023-08-11,sz.000712,14.2400,17.0900,14.2100,14.9000,408890939,6367852719.3600
26,2023-08-18,sz.000712,14.1000,14.9000,13.7000,13.9700,218869134,3128406474.3000
27,2023-08-25,sz.000712,13.9100,15.0700,13.2300,15.0700,141600563,1994222210.1700
28,2023-09-01,sz.000712,16.5800,17.9600,13.6400,13.7100,415405028,6527524212.6800
29,2023-09-08,sz.000712,13.6300,14.7100,13.5600,14.1800,273610100,3877286353.3400
30,2023-09-15,sz.000712,14.0400,14.2500,13.2700,13.2900,117322194,1611775983.9500
31,2023-09-22,sz.000712,13.2700,13.5300,13.0000,13.4200,76875161,1022960431.6100
32,2023-09-28,sz.000712,13.2800,13.2800,12.8900,12.9800,50718484,659296953.0500
33,2023-10-13,sz.000712,12.9000,13.0800,12.5300,12.7700,55458667,706471529.1700
34,2023-10-20,sz.000712,12.6900,15.5000,12.5000,15.5000,269662485,3861967912.5000
35,2023-10-27,sz.000712,15.5000,19.2300,14.6000,15.6900,793107441,13292569696.3900
36,2023-11-03,sz.000712,15.2000,15.4200,14.4600,15.0800,387831282,5806296326.9800
37,2023-11-10,sz.000712,16.2900,18.3000,15.8000,16.5600,567963183,9672424048.8000
38,2023-11-17,sz.000712,16.5000,16.6800,15.6100,15.8500,259585193,4185004533.2800
39,2023-11-24,sz.000712,15.7600,16.4900,15.5000,16.1500,257017070,4110765009.7800
40,2023-12-01,sz.000712,15.7800,15.9600,15.0800,15.3800,148917966,2311900297.5300
41,2023-12-08,sz.000712,15.5300,15.9300,14.9000,14.9500,186359490,2861602923.1500
42,2023-12-15,sz.000712,14.9300,15.3300,14.5000,14.6000,105224322,1563243407.6500
43,2023-12-22,sz.000712,14.6900,14.9400,14.1200,14.5800,145278317,2117154198.8100
44,2023-12-29,sz.000712,14.5900,15.2800,13.3000,14.6700,199655133,2890451780.5100
45,2024-01-05,sz.000712,14.6000,14.6000,13.7100,13.7700,71740889,1014379666.8000
46,2024-01-12,sz.000712,13.7100,13.9100,13.2100,13.3500,75379095,1023201051.9800
47,2024-01-19,sz.000712,13.2000,13.6500,12.8700,12.9800,109138319,1456736557.4900
48,2024-01-26,sz.000712,12.5900,14.3700,12.2100,13.6700,166833860,2191003341.4600
49,2024-02-02,sz.000712,13.4000,13.6900,10.7100,11.0800,132757025,1634207828.5000
50,2024-02-08,sz.000712,11.0000,11.3000,9.5700,11.1000,105625469,1127684055.9200
51,2024-02-23,sz.000712,11.0000,12.3500,10.8200,12.2400,139392003,1618449575.5900
52,2024-03-01,sz.000712,12.0600,12.6400,11.7600,12.3500,135322543,1649538807.8400
53,2024-03-08,sz.000712,12.3200,12.3500,11.6800,11.7800,66378105,796298639.8300
54,2024-03-15,sz.000712,11.7700,13.1300,11.7400,12.7600,134831419,1674102664.3300
55,2024-03-22,sz.000712,12.7000,13.0000,12.1800,12.1800,122213565,1542672025.8900
56,2024-03-29,sz.000712,12.0600,12.2000,11.0500,11.6700,113429342,1327863630.6400
57,2024-04-03,sz.000712,12.0300,12.3400,11.5500,11.6300,62231473,745555078.8500
