,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000838,5.5100,5.5800,5.2200,5.3100,40760356,219638442.2800
1,2023-02-24,sz.000838,5.3000,5.5200,5.2700,5.3300,33000166,177804249.0500
2,2023-03-03,sz.000838,5.3100,5.4800,5.2900,5.4200,26524756,143154880.8900
3,2023-03-10,sz.000838,5.4400,6.0200,5.2000,5.7500,91336930,520817935.7600
4,2023-03-17,sz.000838,5.7500,6.0800,5.6600,5.9600,95550915,562621948.9000
5,2023-03-24,sz.000838,5.9600,7.5000,5.9600,7.2500,176485995,1182169496.6600
6,2023-03-31,sz.000838,7.1000,7.4000,6.0400,6.2500,144704238,940790034.2400
7,2023-04-07,sz.000838,6.2700,6.4300,5.9100,6.1800,55101633,337211758.2500
8,2023-04-14,sz.000838,6.1200,6.1300,5.1700,5.3300,97167942,545908468.6900
9,2023-04-21,sz.000838,5.2600,5.2800,4.8000,4.8400,72917468,365716013.7600
10,2023-04-28,sz.000838,4.8000,4.9500,4.7000,4.8200,47026019,227164717.4100
11,2023-05-05,sz.000838,4.8000,5.2500,4.7900,5.1900,31756024,159764056.1700
12,2023-05-12,sz.000838,4.9900,5.0800,4.6000,4.6300,59718512,283305532.7700
13,2023-05-19,sz.000838,4.6200,4.6300,4.0000,4.0000,74877381,321634099.1100
14,2023-05-26,sz.000838,3.9300,4.0300,3.4100,3.5400,126244972,462559314.3600
15,2023-06-02,sz.000838,3.5300,3.7000,3.3900,3.6700,83055823,293040670.8400
16,2023-06-09,sz.000838,3.6700,4.0600,3.6100,3.8300,104313452,398493130.6500
17,2023-06-16,sz.000838,3.8200,3.9100,3.7200,3.8100,66529317,253576677.0700
18,2023-06-21,sz.000838,3.8100,3.8200,3.5200,3.5800,39960395,145697545.9400
19,2023-06-30,sz.000838,3.5200,3.9200,3.4100,3.9200,105049060,389465514.0500
20,2023-07-07,sz.000838,3.8300,4.6500,3.8100,4.3000,376287214,1559114420.6900
21,2023-07-14,sz.000838,4.2600,4.3400,3.5800,3.6700,241466927,950969216.5700
22,2023-07-21,sz.000838,3.6800,4.0700,3.5700,4.0000,204564402,780981053.6300
23,2023-07-28,sz.000838,4.0000,4.4000,3.8300,4.1200,400903606,1653842315.1900
24,2023-08-04,sz.000838,4.1600,5.2800,4.1000,4.8600,516998708,2398896948.3000
25,2023-08-11,sz.000838,4.6200,4.8500,4.1600,4.2100,464615786,2078209500.7400
26,2023-08-18,sz.000838,4.0500,4.4300,3.8900,4.1300,268275769,1096051149.2100
27,2023-08-25,sz.000838,4.0800,4.1300,3.7400,3.7800,171333219,673550098.7500
28,2023-09-01,sz.000838,4.0900,4.1900,3.8000,3.8300,245098658,981010863.4400
29,2023-09-08,sz.000838,3.8500,3.9000,3.5000,3.5400,149082024,555576423.0800
30,2023-09-15,sz.000838,3.5200,3.5700,3.4200,3.5400,95598038,333784433.9400
31,2023-09-22,sz.000838,3.5400,3.6300,3.3900,3.6100,80514409,280853102.7800
32,2023-09-28,sz.000838,3.5900,3.6000,3.4300,3.4700,50870981,177490481.6700
33,2023-10-13,sz.000838,3.4500,3.4500,3.2300,3.2400,70034393,231867717.3900
34,2023-10-20,sz.000838,3.2400,3.2600,3.0400,3.1600,66592780,209321468.6000
35,2023-10-27,sz.000838,3.1500,3.3100,3.0700,3.2000,68638096,219107779.6600
36,2023-11-03,sz.000838,3.2000,3.8500,3.1600,3.4800,278728532,1000654993.3300
37,2023-11-10,sz.000838,3.5000,3.6300,3.4400,3.4700,137361641,485818093.7800
38,2023-11-17,sz.000838,3.4700,3.6600,3.4500,3.5500,87400366,311744992.4400
39,2023-11-24,sz.000838,3.5600,4.0000,3.5400,3.7600,175611823,654009584.5200
40,2023-12-01,sz.000838,3.7400,3.8500,3.4500,3.8500,142274048,513895250.9900
41,2023-12-08,sz.000838,3.9400,3.9900,3.6300,3.6600,213453578,815768941.3900
42,2023-12-15,sz.000838,3.6400,4.3800,3.5300,3.9200,275495697,1089729731.7000
43,2023-12-22,sz.000838,3.9000,4.0200,3.5600,3.6300,254036578,963855117.5100
44,2023-12-29,sz.000838,3.6400,3.6800,3.4000,3.6700,124854482,441570636.9900
45,2024-01-05,sz.000838,3.6800,3.9000,3.6000,3.6200,95871127,357627087.6600
46,2024-01-12,sz.000838,3.6400,3.8700,3.5500,3.7700,89081418,328175528.8900
47,2024-01-19,sz.000838,3.7600,3.9000,3.4100,3.5000,106571164,390840105.2700
48,2024-01-26,sz.000838,3.4800,3.8400,3.2200,3.7500,118544659,421654775.9100
49,2024-02-02,sz.000838,3.7700,3.8400,2.8600,3.0000,147641301,480351840.6900
50,2024-02-08,sz.000838,2.9000,2.9800,2.1200,2.4400,134675233,328058249.1700
51,2024-02-23,sz.000838,2.4700,3.0400,2.4300,3.0000,130262303,361834192.0800
52,2024-03-01,sz.000838,3.0000,3.2300,2.8600,3.0400,116663295,356534645.4200
53,2024-03-08,sz.000838,3.0500,3.0500,2.7300,2.7900,99601342,289014155.3600
54,2024-03-15,sz.000838,2.7900,3.5000,2.7100,3.5000,178467421,542545903.7500
55,2024-03-22,sz.000838,3.7000,3.9300,3.2900,3.6100,378518681,1345191311.5300
56,2024-03-29,sz.000838,3.6700,3.8800,3.4500,3.5000,204064021,739105547.9200
57,2024-04-03,sz.000838,3.4600,3.5800,3.4200,3.5100,71508727,250116902.0900
