,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000895,25.3400,26.6600,25.2500,25.9900,86198042,2246161385.0200
1,2023-02-24,sz.000895,26.0000,27.2700,25.8600,26.5600,85769382,2287191768.8100
2,2023-03-03,sz.000895,26.4900,26.8500,26.3000,26.5800,48575141,1290955917.8300
3,2023-03-10,sz.000895,26.6000,26.8700,25.3000,25.3500,48467127,1260090790.7800
4,2023-03-17,sz.000895,25.3100,26.0000,25.1200,25.1900,42594975,1085771153.4100
5,2023-03-24,sz.000895,25.1900,25.5200,24.7000,25.3800,38162796,958828625.1800
6,2023-03-31,sz.000895,25.4000,26.1000,25.2200,25.9400,45311353,1162652942.9500
7,2023-04-07,sz.000895,25.9000,26.4500,25.7400,26.0800,40232151,1050408019.5200
8,2023-04-14,sz.000895,26.1000,26.2500,25.6000,25.7000,36836329,952725297.7900
9,2023-04-21,sz.000895,25.7000,26.7200,25.6600,26.1700,54855982,1444051993.1900
10,2023-04-28,sz.000895,26.1800,26.2200,24.2100,24.9500,55381784,1400729139.2900
11,2023-05-05,sz.000895,24.9500,25.2300,24.8000,24.8900,18588261,464930816.7400
12,2023-05-12,sz.000895,25.2000,26.0500,25.1500,25.2900,51774737,1318657123.9400
13,2023-05-19,sz.000895,25.2800,25.7900,24.6700,25.0000,47550847,1199579319.8200
14,2023-05-26,sz.000895,25.0100,25.6400,24.8000,24.9800,32579528,820577806.6400
15,2023-06-02,sz.000895,24.9800,25.0500,24.2400,24.6700,35686170,875798889.7900
16,2023-06-09,sz.000895,24.6600,24.8300,24.2400,24.7400,25624504,628563504.0300
17,2023-06-16,sz.000895,24.7200,25.2000,24.5800,24.9400,27529253,686224958.8400
18,2023-06-21,sz.000895,24.9500,25.0100,24.4700,24.4800,15049933,370700331.9700
19,2023-06-30,sz.000895,24.4000,24.6000,24.0600,24.4900,25421163,619469338.2900
20,2023-07-07,sz.000895,24.5000,24.7600,24.1500,24.3200,23817398,582586590.2200
21,2023-07-14,sz.000895,24.3200,24.5500,24.2500,24.5000,27319841,667104171.9400
22,2023-07-21,sz.000895,24.3800,24.5200,24.0400,24.4500,25423980,618397520.5500
23,2023-07-28,sz.000895,24.4500,25.0500,24.2400,25.0300,39090101,963952504.9200
24,2023-08-04,sz.000895,25.1300,25.5500,25.0000,25.2900,45928275,1160651568.1000
25,2023-08-11,sz.000895,25.3000,25.5200,25.0400,25.0800,34116513,863007334.8300
26,2023-08-18,sz.000895,24.9600,25.7400,24.7300,25.2800,53830943,1363889834.5500
27,2023-08-25,sz.000895,25.2600,25.9800,24.8800,25.8300,53919787,1371507599.0000
28,2023-09-01,sz.000895,26.6000,27.0500,25.7800,26.8900,94545175,2510497479.7000
29,2023-09-08,sz.000895,26.8900,27.0700,26.3600,26.6900,53349619,1425320855.1300
30,2023-09-15,sz.000895,25.9900,26.9400,25.6200,26.5200,58784967,1546470469.2700
31,2023-09-22,sz.000895,26.4000,27.5000,26.2000,26.7100,65582271,1761639969.8000
32,2023-09-28,sz.000895,26.9000,26.9300,26.0000,26.3900,30165487,801408207.8100
33,2023-10-13,sz.000895,26.3600,26.7800,26.0000,26.1400,35828491,945688883.6900
34,2023-10-20,sz.000895,26.1000,26.2500,25.0200,25.1000,30321065,780158800.6900
35,2023-10-27,sz.000895,25.0000,26.4000,25.0000,26.2500,41871957,1073812846.1600
36,2023-11-03,sz.000895,26.2400,26.5400,26.0100,26.3100,27763164,729496273.8700
37,2023-11-10,sz.000895,26.2600,26.3500,25.5600,25.7100,31962610,825792189.5000
38,2023-11-17,sz.000895,25.6900,25.9600,25.2600,25.4100,27479156,702828212.2000
39,2023-11-24,sz.000895,25.4100,26.0500,25.3500,26.0200,25976802,670497548.2300
40,2023-12-01,sz.000895,26.0000,26.1700,25.6300,25.9400,33194760,861052094.8300
41,2023-12-08,sz.000895,25.8000,26.3600,25.5300,26.1800,44743716,1163044978.0700
42,2023-12-15,sz.000895,25.9700,26.0500,25.2300,25.3600,43780769,1124766288.4200
43,2023-12-22,sz.000895,25.2900,25.6800,25.1200,25.5000,30587308,776457673.2800
44,2023-12-29,sz.000895,25.4100,26.8100,25.4000,26.7100,49005927,1290016055.1300
45,2024-01-05,sz.000895,26.6600,26.9500,26.4000,26.7000,40133404,1069062255.0700
46,2024-01-12,sz.000895,26.6900,27.1500,26.2500,26.9000,54808269,1467353936.5600
47,2024-01-19,sz.000895,26.7100,27.5300,26.5000,27.1200,63749087,1729131034.0000
48,2024-01-26,sz.000895,27.1000,28.3300,26.5600,28.2000,74592922,2045027584.4200
49,2024-02-02,sz.000895,28.1500,28.7800,27.5100,28.1800,79234120,2241606117.4100
50,2024-02-08,sz.000895,28.0000,29.9600,27.6800,28.5700,114069572,3298890946.7700
51,2024-02-23,sz.000895,28.3400,30.0600,27.7600,29.7000,77077173,2274950841.9000
52,2024-03-01,sz.000895,29.5600,29.9100,28.8600,29.1400,55042046,1613095526.0900
53,2024-03-08,sz.000895,29.0100,30.1000,28.7700,29.2900,66445597,1959011358.0500
54,2024-03-15,sz.000895,29.2800,29.4100,28.0100,28.6100,65125382,1864015829.3100
55,2024-03-22,sz.000895,28.4400,28.8700,28.2300,28.4600,42768194,1222921142.2300
56,2024-03-29,sz.000895,28.3700,28.8600,25.3000,26.2500,132880444,3507661588.7900
57,2024-04-03,sz.000895,26.2300,26.9800,25.8700,26.6500,49554059,1313890435.5700
