,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000928,7.1600,7.5600,7.1400,7.1900,137345156,1012927926.8900
1,2023-02-24,sz.000928,7.3000,7.5300,7.0800,7.1300,93048160,677805360.7500
2,2023-03-03,sz.000928,7.1100,8.1600,7.0300,8.1100,234933688,1833260561.9900
3,2023-03-10,sz.000928,8.1200,8.5100,7.9700,8.0500,206209519,1688917418.3400
4,2023-03-17,sz.000928,8.5900,9.2000,8.1400,8.9400,267427576,2276827230.4700
5,2023-03-24,sz.000928,9.0600,9.3800,7.9800,8.0000,251189173,2135524874.9700
6,2023-03-31,sz.000928,8.0000,8.0800,7.3900,7.5100,141178804,1089667063.2400
7,2023-04-07,sz.000928,7.5000,7.9500,7.3800,7.5200,144865176,1109177327.8400
8,2023-04-14,sz.000928,7.6500,8.8500,7.5500,8.7500,323019813,2681776116.6500
9,2023-04-21,sz.000928,8.7800,9.1400,8.4500,8.5500,285042746,2494084935.6400
10,2023-04-28,sz.000928,8.5200,8.9100,8.1700,8.8600,186736468,1587354250.2600
11,2023-05-05,sz.000928,9.3600,10.3900,9.1800,10.0600,221441996,2178594868.2600
12,2023-05-12,sz.000928,10.1800,12.1800,9.9000,9.9100,600333193,6430728350.4400
13,2023-05-19,sz.000928,9.9300,10.0400,9.0800,9.1900,239709453,2278362100.7200
14,2023-05-26,sz.000928,9.1700,9.4000,8.2400,8.3700,179946393,1567939003.8200
15,2023-06-02,sz.000928,8.4000,9.3300,8.3300,9.1800,254959560,2269691929.2800
16,2023-06-09,sz.000928,9.1500,9.5500,8.7100,9.3900,217948587,1989319532.0100
17,2023-06-16,sz.000928,9.3400,9.5800,8.9800,9.4800,209498305,1944448025.6600
18,2023-06-21,sz.000928,9.3900,9.6300,9.0800,9.1700,87846328,822581458.4300
19,2023-06-30,sz.000928,9.1400,9.9200,8.8700,9.6500,194588555,1834381990.5400
20,2023-07-07,sz.000928,9.6900,10.6200,9.6900,10.2200,283383850,2913642091.7000
21,2023-07-14,sz.000928,10.2000,10.4400,9.3100,9.5100,215478133,2115510703.5800
22,2023-07-21,sz.000928,9.5100,9.5700,9.1000,9.1700,106846070,991882977.0300
23,2023-07-28,sz.000928,9.2500,9.6600,9.1000,9.5200,111460361,1052852033.6000
24,2023-08-04,sz.000928,9.5700,10.3600,9.5200,10.2900,152739570,1538426051.4300
25,2023-08-11,sz.000928,10.2000,10.2800,9.6500,9.6700,95754592,951561690.3600
26,2023-08-18,sz.000928,9.5800,10.4800,9.2600,9.2900,181265505,1791410863.8400
27,2023-08-25,sz.000928,9.2300,9.8300,8.0700,8.1400,186962800,1668659006.3400
28,2023-09-01,sz.000928,8.6600,8.6600,8.0000,8.1100,147237980,1207717061.5500
29,2023-09-08,sz.000928,8.1300,8.3500,7.8300,7.9200,101123842,815729334.9300
30,2023-09-15,sz.000928,7.8900,8.2300,7.7500,7.8000,96820855,772435808.4000
31,2023-09-22,sz.000928,7.7800,8.0900,7.6800,7.9900,83320361,656465867.8200
32,2023-09-28,sz.000928,8.0100,8.1800,7.6600,8.1100,111405244,882154902.4900
33,2023-10-13,sz.000928,8.0600,8.0800,6.6900,6.7400,225813561,1593263950.8500
34,2023-10-20,sz.000928,6.7200,6.7800,6.1800,6.2000,142456991,921224723.2800
35,2023-10-27,sz.000928,6.1700,6.2800,5.9700,6.2200,146254076,893777308.4700
36,2023-11-03,sz.000928,6.2000,6.2800,6.1100,6.1500,120137814,743192613.7400
37,2023-11-10,sz.000928,6.1900,6.2400,6.0100,6.0900,180671791,1109309985.0800
38,2023-11-17,sz.000928,6.1200,6.3700,6.0700,6.2100,119764523,746184784.2700
39,2023-11-24,sz.000928,6.2000,6.4300,6.1000,6.1200,121334660,756882549.4200
40,2023-12-01,sz.000928,6.1200,6.1700,6.0000,6.1200,97408874,591361224.2700
41,2023-12-08,sz.000928,6.1300,6.2000,5.8800,5.8800,108336968,653795276.7800
42,2023-12-15,sz.000928,5.8400,6.0800,5.7900,5.9600,79087144,473096837.3300
43,2023-12-22,sz.000928,5.9200,5.9700,5.7100,5.7700,74548923,434794485.0100
44,2023-12-29,sz.000928,5.7800,5.8800,5.6100,5.8300,76814012,440907790.2700
45,2024-01-05,sz.000928,5.8500,5.9400,5.7800,5.8100,54105550,316790297.3100
46,2024-01-12,sz.000928,5.8200,5.8200,5.5700,5.7100,87450841,495919015.9000
47,2024-01-19,sz.000928,5.6800,6.0300,5.4700,5.5400,149561063,850573016.2400
48,2024-01-26,sz.000928,5.5300,6.7400,5.1800,6.5800,371764380,2276609996.4200
49,2024-02-02,sz.000928,6.4100,7.2000,5.9200,6.1400,675961467,4451774902.9700
50,2024-02-08,sz.000928,6.0600,6.1700,5.0300,6.0400,328230779,1877950063.3000
51,2024-02-23,sz.000928,6.0600,6.7300,5.9500,6.4600,313104369,1985680530.8900
52,2024-03-01,sz.000928,6.4500,6.6200,6.2600,6.4100,240711723,1545416050.5200
53,2024-03-08,sz.000928,6.4100,6.4500,6.2200,6.3600,155130954,980244977.6700
54,2024-03-15,sz.000928,6.3600,6.4400,6.1200,6.2600,155506333,976366675.0600
55,2024-03-22,sz.000928,6.2500,6.4300,6.1500,6.2000,117342244,741291517.8900
56,2024-03-29,sz.000928,6.1700,6.3100,5.9100,6.1300,100472435,613453890.1600
57,2024-04-03,sz.000928,6.1300,6.3800,6.1300,6.2400,58210482,363907282.8200
