,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000938,23.4100,26.2600,22.8800,22.8800,391377753,9629915523.0000
1,2023-02-24,sz.000938,22.7900,25.2700,22.7900,23.6500,260581794,6229598870.4700
2,2023-03-03,sz.000938,23.5500,27.1800,23.4200,25.8300,386783139,9966745087.2900
3,2023-03-10,sz.000938,25.8500,28.0600,24.6600,27.4100,303542720,8002167825.1000
4,2023-03-17,sz.000938,26.9400,28.2300,26.3800,27.4400,289346213,7896424295.8800
5,2023-03-24,sz.000938,27.5000,31.9700,27.3600,31.6300,405689998,11991368295.8200
6,2023-03-31,sz.000938,31.3000,31.6200,28.2000,29.2900,289329031,8636034774.6600
7,2023-04-07,sz.000938,31.2000,35.5500,31.2000,34.1600,397655504,13299667841.9700
8,2023-04-14,sz.000938,34.4300,34.8300,30.0300,30.7400,440746411,14003298425.7200
9,2023-04-21,sz.000938,31.0200,34.2600,30.1400,32.5000,554321365,18078890116.1900
10,2023-04-28,sz.000938,32.7000,34.0000,27.5000,29.6300,449641089,13647858668.7200
11,2023-05-05,sz.000938,29.1700,29.6800,27.7000,27.9100,108455163,3094000273.3500
12,2023-05-12,sz.000938,28.2500,30.5600,26.5700,26.6200,263835974,7460321374.0200
13,2023-05-19,sz.000938,26.7000,29.0400,25.6600,28.2800,239639858,6606141127.4500
14,2023-05-26,sz.000938,28.2000,29.6500,26.8200,29.3800,207965152,5915995553.3200
15,2023-06-02,sz.000938,30.8500,33.7500,29.7900,31.9500,404678746,12836442926.3700
16,2023-06-09,sz.000938,31.9100,33.0400,30.2700,32.9900,225482992,7159307033.4200
17,2023-06-16,sz.000938,32.8300,35.4900,31.6700,35.2700,354420885,12016477360.9200
18,2023-06-21,sz.000938,35.5000,38.7800,34.4700,36.7700,302547510,10993553046.1300
19,2023-06-30,sz.000938,36.4000,37.6100,30.1900,31.8500,377315709,12464039884.5500
20,2023-07-07,sz.000938,31.8500,32.2800,29.7000,30.6100,239300857,7442898780.3600
21,2023-07-14,sz.000938,30.6500,30.9900,28.4800,29.8800,271687397,8026724579.4900
22,2023-07-21,sz.000938,29.6600,30.5500,27.1200,27.3300,212296951,6104814544.8800
23,2023-07-28,sz.000938,27.3200,29.0000,26.9100,26.9400,203496805,5670940357.4000
24,2023-08-04,sz.000938,26.9000,29.0900,26.5200,28.8400,189360471,5270925408.2300
25,2023-08-11,sz.000938,28.9800,29.6800,26.3800,26.4400,170247962,4768764495.5600
26,2023-08-18,sz.000938,25.9300,27.3600,25.2300,25.2400,123462611,3229975469.3600
27,2023-08-25,sz.000938,25.3900,26.3700,24.2500,24.4200,164532462,4172293895.7400
28,2023-09-01,sz.000938,25.7200,27.7000,25.0800,26.3900,210140102,5554051161.4700
29,2023-09-08,sz.000938,26.6900,26.9700,24.7900,24.9500,121654918,3159144250.3800
30,2023-09-15,sz.000938,24.9000,26.8100,24.5000,24.6200,131396114,3349767491.6600
31,2023-09-22,sz.000938,24.4100,25.3300,23.8800,25.2000,153697160,3771594927.1000
32,2023-09-28,sz.000938,24.5400,24.5400,22.9800,23.5700,189078030,4454816153.2500
33,2023-10-13,sz.000938,23.4700,24.2400,22.5000,22.5600,159583137,3726454348.6100
34,2023-10-20,sz.000938,22.4600,22.6200,19.7300,20.0200,223139917,4645158857.5200
35,2023-10-27,sz.000938,20.0300,20.0800,19.3000,19.6900,171283622,3364212782.6700
36,2023-11-03,sz.000938,19.6700,20.2200,19.2600,19.8100,212219151,4171732339.0100
37,2023-11-10,sz.000938,19.9800,21.6500,19.8800,20.9800,339629042,7080264340.0200
38,2023-11-17,sz.000938,21.0700,21.9300,21.0700,21.5300,263204150,5654661818.3800
39,2023-11-24,sz.000938,21.5100,22.1800,20.6400,20.7800,235458819,5032612419.5400
40,2023-12-01,sz.000938,20.6800,21.1800,20.0100,20.9800,178506972,3672654266.6000
41,2023-12-08,sz.000938,20.9600,21.4000,19.4100,20.9400,274021632,5599300320.4700
42,2023-12-15,sz.000938,20.8400,21.5500,20.1300,20.2800,223268584,4659626300.4000
43,2023-12-22,sz.000938,20.1800,20.3800,18.6800,18.7500,169181097,3282407720.7200
44,2023-12-29,sz.000938,18.7000,19.5400,18.0100,19.3500,171413542,3219716287.5000
45,2024-01-05,sz.000938,19.3200,19.3500,17.5600,17.6900,126898328,2333163961.5900
46,2024-01-12,sz.000938,17.6400,17.8900,16.8000,17.4000,173936398,3021431941.5200
47,2024-01-19,sz.000938,17.4000,17.6000,16.6500,17.2900,158602142,2722117044.0700
48,2024-01-26,sz.000938,17.5000,17.8500,16.3800,17.5200,237823350,4097975634.4800
49,2024-02-02,sz.000938,17.5000,17.5700,14.5600,15.2000,194200315,3119395659.9600
50,2024-02-08,sz.000938,15.1800,16.8800,14.2200,16.7300,220364476,3465868025.2500
51,2024-02-23,sz.000938,17.4800,18.5900,17.0800,18.2800,331868168,5906756418.3800
52,2024-03-01,sz.000938,18.2500,24.3100,18.0300,24.3100,934115446,20192472555.4000
53,2024-03-08,sz.000938,24.8400,26.5200,23.7900,24.9300,1153315000,28678558374.2600
54,2024-03-15,sz.000938,24.0000,25.1000,22.4800,23.1700,689302865,16389967028.3500
55,2024-03-22,sz.000938,23.2300,24.1300,22.5200,22.8300,496746495,11654045740.7300
56,2024-03-29,sz.000938,22.8100,23.1800,20.6100,21.7100,464288367,10091747248.9400
57,2024-04-03,sz.000938,21.7200,22.1400,20.8300,21.0000,195725582,4227977082.3700
