,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.000988,19.8200,20.5000,19.3300,19.4000,84513002,1679823843.6400
1,2023-02-24,sz.000988,19.4700,20.2000,19.2100,19.7800,56523825,1117497443.2600
2,2023-03-03,sz.000988,19.6800,21.5600,19.5900,20.9000,141730679,2936129227.6800
3,2023-03-10,sz.000988,21.6500,21.8500,20.4500,21.0800,101401547,2145787445.3200
4,2023-03-17,sz.000988,20.9500,21.5400,20.4400,21.4000,98995250,2079667016.4200
5,2023-03-24,sz.000988,21.3800,24.2800,21.1000,23.6800,181015721,4129675190.9300
6,2023-03-31,sz.000988,23.6600,25.8000,23.0100,25.4100,214095808,5198967662.7400
7,2023-04-07,sz.000988,26.8800,33.5000,26.8800,31.7700,500592405,15417641493.7800
8,2023-04-14,sz.000988,32.0000,34.0800,29.3800,30.7100,457935568,14477272175.7000
9,2023-04-21,sz.000988,30.7100,37.8900,30.2100,36.2600,588555328,19715446088.1300
10,2023-04-28,sz.000988,36.5500,38.1300,31.1000,33.3200,578940895,20310410364.7000
11,2023-05-05,sz.000988,32.8600,33.5500,29.8800,30.1800,168465012,5269952332.0200
12,2023-05-12,sz.000988,30.5000,31.7500,28.6200,28.6700,272090048,8118610984.1400
13,2023-05-19,sz.000988,28.4500,33.4000,27.6000,31.0800,343750169,10427933532.4700
14,2023-05-26,sz.000988,30.7000,32.2000,28.7300,31.2700,403945872,12261041702.4900
15,2023-06-02,sz.000988,31.0100,34.6900,30.1900,32.6900,506152216,16546876313.5700
16,2023-06-09,sz.000988,32.5000,36.8000,31.8100,36.4300,487838591,16836168624.9600
17,2023-06-16,sz.000988,35.8000,41.7700,34.9000,41.1300,572108044,21684620028.6300
18,2023-06-21,sz.000988,41.1300,44.3400,37.8500,37.8500,377811395,15414365839.0000
19,2023-06-30,sz.000988,37.1100,38.3600,32.6800,38.0100,439302853,15604863679.4000
20,2023-07-07,sz.000988,38.7300,44.1100,36.2400,40.6500,568016749,22945725934.7700
21,2023-07-14,sz.000988,41.3300,45.1500,38.8300,42.8400,564736986,23786323526.1000
22,2023-07-21,sz.000988,41.8000,46.3900,37.7000,38.4000,477631944,20331302465.2100
23,2023-07-28,sz.000988,38.3800,40.4000,36.4300,36.4300,315745104,12076967867.7700
24,2023-08-04,sz.000988,35.8600,37.2700,34.8100,37.0600,316357629,11466008571.0500
25,2023-08-11,sz.000988,37.6000,39.0000,33.3000,33.3400,383294669,13953206135.1400
26,2023-08-18,sz.000988,32.7800,35.1500,32.4700,32.5000,215926242,7279991220.0800
27,2023-08-25,sz.000988,29.5600,31.8800,28.8600,29.1300,259034647,7917708275.8300
28,2023-09-01,sz.000988,31.0200,32.0700,29.1000,30.8200,257217751,7929215574.6600
29,2023-09-08,sz.000988,31.0000,31.4000,29.8800,30.0000,162142921,4985212746.3000
30,2023-09-15,sz.000988,30.0100,34.6000,29.9400,31.5100,375390852,12231462798.9800
31,2023-09-22,sz.000988,31.1000,32.9300,29.4500,32.9300,252621015,7882915897.0300
32,2023-09-28,sz.000988,33.8000,34.2700,32.8300,33.6700,287139894,9661036903.6200
33,2023-10-13,sz.000988,33.8300,34.5500,32.1600,32.2900,239918207,8038065322.4000
34,2023-10-20,sz.000988,32.1000,32.1000,27.4600,27.5600,196481384,5840964161.9300
35,2023-10-27,sz.000988,27.4000,28.0900,25.8200,27.5900,214338961,5806689003.4300
36,2023-11-03,sz.000988,27.4900,28.9700,27.2400,28.6100,195141271,5487812484.0600
37,2023-11-10,sz.000988,28.8500,31.1200,28.5800,29.9700,236690162,7058766374.5800
38,2023-11-17,sz.000988,30.2200,31.3500,30.0000,31.0400,197947281,6082318788.3700
39,2023-11-24,sz.000988,30.7300,33.2900,30.1500,30.2600,233020959,7291068611.5000
40,2023-12-01,sz.000988,29.8000,31.0600,28.9400,30.7700,154465962,4631056815.2900
41,2023-12-08,sz.000988,30.6100,32.5800,28.9500,32.5800,228737406,7076358764.8600
42,2023-12-15,sz.000988,32.3900,33.1800,30.8500,31.1700,257861854,8349514782.1200
43,2023-12-22,sz.000988,31.0000,31.3500,28.9100,29.2100,158851362,4779120810.7400
44,2023-12-29,sz.000988,29.3500,29.8700,28.0400,29.7600,126078895,3656656703.5700
45,2024-01-05,sz.000988,29.7000,30.0800,27.6900,27.9200,90324390,2619613527.5800
46,2024-01-12,sz.000988,27.9100,28.1700,26.6700,26.8400,96028628,2625552116.5500
47,2024-01-19,sz.000988,26.5200,27.6200,25.6000,26.9600,118115362,3151196466.9400
48,2024-01-26,sz.000988,27.6700,29.0500,25.6200,28.2900,217949464,6070637289.5900
49,2024-02-02,sz.000988,28.3800,28.5300,24.2400,25.0000,155477759,4097173356.8300
50,2024-02-08,sz.000988,24.5500,29.3500,22.9600,27.8200,207123886,5520062705.1000
51,2024-02-23,sz.000988,29.0000,30.8500,28.5000,30.0400,305892700,9107355567.5000
52,2024-03-01,sz.000988,30.0200,34.1000,29.7700,33.6900,370433799,11728758683.9600
53,2024-03-08,sz.000988,34.3100,35.5000,32.9700,34.6400,407369182,13932196406.8400
54,2024-03-15,sz.000988,33.8000,36.3600,33.6100,34.9300,347286876,12172287644.1800
55,2024-03-22,sz.000988,35.5000,37.1000,34.2100,34.3200,301081842,10635910637.9300
56,2024-03-29,sz.000988,34.3300,34.9700,31.0000,33.8000,278713322,9170860823.7400
57,2024-04-03,sz.000988,35.6000,37.1800,33.9000,33.9600,305899827,10992126154.0200
