,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.001208,11.0400,12.1800,10.6900,10.7700,55894095,629308270.1500
1,2023-02-24,sz.001208,10.8400,11.0500,10.3600,10.4900,32878468,350966341.4900
2,2023-03-03,sz.001208,10.3900,10.5600,10.2500,10.2900,18660800,194155234.4700
3,2023-03-10,sz.001208,10.2900,11.0300,10.2500,10.7700,46073737,488702114.0300
4,2023-03-17,sz.001208,10.7100,11.1200,10.4600,10.8300,48117077,520409169.1600
5,2023-03-24,sz.001208,10.8300,10.8300,10.4200,10.4700,28138012,297771011.8400
6,2023-03-31,sz.001208,10.5000,10.5500,9.9800,10.1800,18666316,191557871.3100
7,2023-04-07,sz.001208,10.2200,10.2900,10.0600,10.1000,10260238,104266835.6400
8,2023-04-14,sz.001208,10.0900,10.1500,9.9100,10.0300,10875599,108876379.9100
9,2023-04-21,sz.001208,10.0900,10.0900,9.6100,9.6200,13275750,130977367.1900
10,2023-04-28,sz.001208,9.6300,9.7100,9.2300,9.5700,10115128,95435513.3900
11,2023-05-05,sz.001208,9.4500,9.6700,9.4200,9.5700,3433392,32792497.1400
12,2023-05-12,sz.001208,9.6100,9.6900,9.4300,9.5100,8207875,78494774.7300
13,2023-05-19,sz.001208,9.5100,10.2800,9.5000,9.8200,23228384,231790214.0600
14,2023-05-26,sz.001208,9.9200,10.4000,9.7400,9.8600,28772542,287257630.7500
15,2023-06-02,sz.001208,9.8100,9.8500,9.4000,9.5000,18060543,172093682.6700
16,2023-06-09,sz.001208,9.5000,9.5600,9.2300,9.3600,10712429,100504986.5400
17,2023-06-16,sz.001208,9.3500,9.7500,9.2700,9.5700,16124092,153647981.1700
18,2023-06-21,sz.001208,9.3500,9.4800,9.2800,9.2800,8182332,76704273.9200
19,2023-06-30,sz.001208,9.2600,9.5300,9.2300,9.4800,10584099,99393691.9700
20,2023-07-07,sz.001208,9.4700,9.5900,9.3200,9.3800,9364016,88743654.7300
21,2023-07-14,sz.001208,9.4400,9.5400,9.4000,9.4200,9231131,87473379.3000
22,2023-07-21,sz.001208,9.5500,9.7400,9.3300,9.3500,15357353,146884887.9300
23,2023-07-28,sz.001208,9.3500,9.9500,9.3100,9.6200,18628751,178733855.8700
24,2023-08-04,sz.001208,9.5600,10.6800,9.5600,9.7400,56279179,560656579.4100
25,2023-08-11,sz.001208,9.5900,9.9500,9.4000,9.4300,21343733,207549550.7300
26,2023-08-18,sz.001208,9.3600,9.5000,9.2800,9.3300,9487950,89142418.0000
27,2023-08-25,sz.001208,9.3100,9.4400,8.8400,8.8600,9524996,87460898.8000
28,2023-09-01,sz.001208,9.2000,9.2700,8.8800,9.0900,10161378,92051368.0800
29,2023-09-08,sz.001208,9.1000,9.2000,8.9600,9.1500,10006710,91276396.5200
30,2023-09-15,sz.001208,9.1500,9.3100,9.0700,9.0800,8726950,79983379.5000
31,2023-09-22,sz.001208,9.0500,9.1300,8.8800,9.0500,5747847,51855513.3400
32,2023-09-28,sz.001208,9.0500,9.1300,9.0000,9.1100,4247000,38536865.0000
33,2023-10-13,sz.001208,9.1200,9.2000,9.0600,9.1300,7687170,70215569.9600
34,2023-10-20,sz.001208,9.1300,9.2000,8.6200,8.7500,9944110,88876355.7000
35,2023-10-27,sz.001208,8.6900,9.0600,8.3100,9.0500,15753316,137438925.0400
36,2023-11-03,sz.001208,9.1800,9.1800,8.9600,9.1200,13431200,121877283.0000
37,2023-11-10,sz.001208,9.1200,9.2900,9.1000,9.1300,12249908,112832798.8400
38,2023-11-17,sz.001208,9.1200,9.3400,9.1200,9.2700,11955386,110619617.5400
39,2023-11-24,sz.001208,9.2900,9.3300,9.0500,9.0500,10921300,100486092.0000
40,2023-12-01,sz.001208,9.1000,9.3400,9.0100,9.1500,12645992,116142843.4600
41,2023-12-08,sz.001208,9.1600,9.2700,8.8900,8.8900,11789054,107191110.4000
42,2023-12-15,sz.001208,8.8400,10.0200,8.8200,9.5000,74240483,717704138.6000
43,2023-12-22,sz.001208,9.5200,9.5800,8.5100,8.7100,67362631,609836393.2400
44,2023-12-29,sz.001208,8.7000,9.3800,8.3800,9.2900,36140864,321663647.8700
45,2024-01-05,sz.001208,9.2800,9.5400,9.1300,9.1900,32210190,301696198.4700
46,2024-01-12,sz.001208,9.1800,9.3100,8.9200,9.1300,21137140,192844250.2400
47,2024-01-19,sz.001208,8.9800,10.2900,8.9800,9.7200,93001693,886110548.6900
48,2024-01-26,sz.001208,9.5900,9.9900,8.6500,9.6000,116398472,1110497246.3000
49,2024-02-02,sz.001208,9.6800,9.9700,7.1700,7.6800,97527847,836648566.9200
50,2024-02-08,sz.001208,7.4100,7.5200,6.2800,7.0500,43149675,295807723.9000
51,2024-02-23,sz.001208,7.0800,7.6000,6.9100,7.6000,37759310,275670053.6100
52,2024-03-01,sz.001208,7.6400,8.1800,7.3200,7.6400,46144296,357017235.9800
53,2024-03-08,sz.001208,7.6500,9.2400,7.4000,9.2400,52035748,435003725.2400
54,2024-03-15,sz.001208,10.1600,10.1600,8.2200,8.3400,138162601,1241986921.1600
55,2024-03-22,sz.001208,8.3300,8.6300,8.2700,8.3300,53742613,452247478.2100
56,2024-03-29,sz.001208,8.2100,8.3600,7.7100,8.0400,30966274,248470285.2600
57,2024-04-03,sz.001208,8.0200,8.2000,7.9500,8.0300,13345300,107785066.4200
