,date,code,open,high,low,close,volume,amount
0,2023-02-17,sz.001299,20.7900,20.8700,19.6000,19.7700,14667321,296970021.3500
1,2023-02-24,sz.001299,19.8000,19.9400,19.1500,19.4700,9515850,184947793.4200
2,2023-03-03,sz.001299,19.4000,20.3000,19.2800,19.4400,13429944,265634043.1500
3,2023-03-10,sz.001299,19.4300,19.7600,18.0500,18.1700,10692875,201795865.9000
4,2023-03-17,sz.001299,18.2900,18.6700,17.3900,17.6200,11349189,203110979.2000
5,2023-03-24,sz.001299,17.5500,17.5800,17.0200,17.1500,7486271,128761178.3600
6,2023-03-31,sz.001299,17.1500,17.7200,16.3600,16.7800,10261758,175730877.5100
7,2023-04-07,sz.001299,16.8500,17.0500,16.3800,16.7300,6630208,110456565.3100
8,2023-04-14,sz.001299,16.7300,17.0000,16.0300,16.2100,7757482,127421226.3200
9,2023-04-21,sz.001299,16.2000,16.5100,14.9600,15.0100,8952723,140754135.3800
10,2023-04-28,sz.001299,15.0000,15.5400,14.5100,15.5200,7910125,119779104.9800
11,2023-05-05,sz.001299,15.5200,15.8400,15.4300,15.6900,2586460,40589293.7600
12,2023-05-12,sz.001299,15.6600,16.1000,15.4000,15.8000,5285907,83190938.3500
13,2023-05-19,sz.001299,15.7900,16.4800,15.7700,16.1500,6354060,102743036.1300
14,2023-05-26,sz.001299,16.1600,18.7900,15.9000,18.1000,24569301,435778114.9800
15,2023-06-02,sz.001299,17.8800,19.3600,16.3500,16.5100,40876637,715184100.4400
16,2023-06-09,sz.001299,16.4800,17.5000,15.3400,15.5700,26479346,435791555.1100
17,2023-06-16,sz.001299,15.8300,16.0000,15.2400,15.7200,11561660,179842332.3200
18,2023-06-21,sz.001299,15.5000,16.2500,15.2700,15.2700,7803528,122395759.2300
19,2023-06-30,sz.001299,15.2500,16.9700,15.1100,16.3100,21367422,344469527.2100
20,2023-07-07,sz.001299,16.2700,16.3600,16.0400,16.1700,8591734,139076810.5600
21,2023-07-14,sz.001299,16.1700,17.4800,16.1700,16.6800,24862496,417364499.9300
22,2023-07-21,sz.001299,16.5800,17.0900,16.0800,16.1100,10507922,172676680.3800
23,2023-07-28,sz.001299,16.1200,16.4100,15.7200,16.0200,6744437,108855677.0500
24,2023-08-04,sz.001299,16.0200,16.5400,15.9100,16.0600,6561904,106012571.1100
25,2023-08-11,sz.001299,16.1100,19.1800,15.7300,19.1800,34700607,640683335.5300
26,2023-08-18,sz.001299,18.9900,20.8000,17.8600,20.0600,105923324,2026421661.7200
27,2023-08-25,sz.001299,19.8000,23.0500,18.2200,20.0800,102103722,2075073365.9600
28,2023-09-01,sz.001299,21.0000,21.3400,19.0200,20.2200,82650045,1659842839.5100
29,2023-09-08,sz.001299,19.8000,22.3700,19.2800,19.4600,94359276,1963438409.8300
30,2023-09-15,sz.001299,19.1900,19.8800,18.3000,18.5900,47569873,900449742.8100
31,2023-09-22,sz.001299,18.2500,18.8500,17.5500,17.7700,29379885,535123873.9300
32,2023-09-28,sz.001299,17.6400,18.4500,17.4600,18.3000,19878127,355852798.8100
33,2023-10-13,sz.001299,18.1900,19.8000,16.8000,16.8800,43394903,785824662.0300
34,2023-10-20,sz.001299,17.1400,18.1400,16.0700,16.2000,35976575,614818626.6300
35,2023-10-27,sz.001299,16.0000,16.4700,15.5400,16.3800,18412262,296951574.6700
36,2023-11-03,sz.001299,16.2400,16.7200,16.1500,16.6000,16290125,267479419.2600
37,2023-11-10,sz.001299,16.7300,17.6000,16.4000,17.3400,26857032,456026446.1700
38,2023-11-17,sz.001299,17.2900,17.6300,16.9300,17.2000,27594429,475808923.0100
39,2023-11-24,sz.001299,17.2100,17.5300,16.8600,16.9400,18577064,318282530.3200
40,2023-12-01,sz.001299,16.8400,17.3500,16.4100,16.9800,21343633,362192050.6300
41,2023-12-08,sz.001299,16.9300,17.4800,16.2600,16.7800,19705437,329625027.9700
42,2023-12-15,sz.001299,17.2000,18.0400,16.8800,17.3100,47936741,838959299.7800
43,2023-12-22,sz.001299,17.2600,17.5500,15.6800,15.8200,22916229,376874275.9900
44,2023-12-29,sz.001299,15.8200,15.8800,15.0000,15.5300,14254434,218449022.0300
45,2024-01-05,sz.001299,15.5400,15.9900,15.3500,15.5600,10946336,171195202.9100
46,2024-01-12,sz.001299,15.7000,15.7000,15.0100,15.3800,8790227,135103000.6400
47,2024-01-19,sz.001299,15.2700,16.0400,14.2600,14.3400,15554009,235884942.9600
48,2024-01-26,sz.001299,14.2900,14.6100,13.0100,14.4000,12668920,175538705.0800
49,2024-02-02,sz.001299,14.3900,14.5400,11.3100,11.8100,10356851,134390817.5800
50,2024-02-08,sz.001299,11.8000,11.8000,8.3200,9.7400,19346612,185048613.9000
51,2024-02-23,sz.001299,9.6800,11.4700,9.6800,11.4600,20785785,220603170.5200
52,2024-03-01,sz.001299,11.5200,12.4200,10.5000,11.6500,23730951,274361100.2100
53,2024-03-08,sz.001299,11.6500,13.3800,11.0100,12.2300,30793052,378158333.3000
54,2024-03-15,sz.001299,12.2000,12.9000,11.8700,12.5800,30465841,376076500.3100
55,2024-03-22,sz.001299,12.4600,12.8500,12.2700,12.2800,19302129,242138119.0000
56,2024-03-29,sz.001299,12.3200,12.6400,11.7500,12.3100,14540562,177052815.3300
57,2024-04-03,sz.001299,12.3000,15.0900,12.2800,15.0900,28054869,396583577.1600
